Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
The Sud Stud,,+1-530-788-3671,,,Colusa,CA,P4 | Class B | website has issues | http://thesudstud.net/,,Car Detailers
AquaShine Auto Spa,,+1-916-836-9788,,,El Dorado Hills,CA,P4 | Class B | website has issues | https://autospa.base44.app/,,Car Detailers
EZ Details,,+1-916-693-0393,,"315 Summerfield Ct, El Dorado Hills, CA 95762, United States",El Dorado Hills,CA,P4 | Class B | website has issues | http://ezdetails.org/?utm_source=gmb&utm_medium=referral,,Car Detailers
Elements Detail,,+1-530-350-5117,,"4020 Durock Rd #4, Shingle Springs, CA 95682, United States",El Dorado Hills,CA,P4 | Class B | website has issues | http://www.elementsdetail.com/,,Car Detailers
Noah's Auto Detailing,,+1-916-203-6565,,"330 Green Valley Rd suite b, El Dorado Hills, CA 95762, United States",El Dorado Hills,CA,P4 | Class B | website has issues | https://noahsmobileautodetailing.com/,,Car Detailers
Premium Auto Detail,,+1-530-622-5151,,"523 Placerville Dr, Placerville, CA 95667, United States",El Dorado Hills,CA,P4 | Class B | website has issues | https://premiumautodetailllc.com/,,Car Detailers
Klotz Mobile Detail,,+1-530-315-3272,,,Rocklin,CA,P4 | Class B | website has issues | http://www.klotzmobiledetail.com/,,Car Detailers
Premier Auto Tint,,+1-916-358-3850,,,El Dorado Hills,CA,V1 | P4 | Class B | website has objective flaws | https://www.premierautotint.com/,,Car Detailers
Suds Car Wash & Detail,,+1-916-673-6300,,,El Dorado Hills,CA,V1 | P4 | Class B | website has objective flaws | https://sudscarwash.net/,,Car Detailers
Alpha Auto Works,,+1-916-805-0911,,,Folsom,CA,V1 | P4 | Class B | website has objective flaws | http://www.alphaautoworksca.com/,,Car Detailers
Skyline Detailing,,+1-618-604-6047,,,Placerville,CA,V1 | P4 | Class B | website has objective flaws | http://www.skylinedetailingstl.com/,,Car Detailers
Truckee Auto Detail,,+1-530-386-8615,,,South Lake Tahoe,CA,V1 | P4 | Class B | website has objective flaws | https://orbisx.ca/app/booknow/VSn2f,,Car Detailers
