Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
A's Mobile Car Wash and Detailing,,+1-530-560-1414,,"646 Mission De Oro Dr, Redding, CA 96003, United States",Redding,CA,P4 | Class B | website has issues | http://asdetailing.biz/,,Car Detailers
Annie's Mobile Detailing,,+1-530-262-0604,,,Redding,CA,P4 | Class B | website has issues | https://www.anniesmobiledetailing.com/,,Car Detailers
Ant's mobile auto detail,,+1-530-524-7861,,"Tierra oaks dr, Redding, CA 96003, United States",Redding,CA,P4 | Class B | website has issues | https://twanquads.wixsite.com/antsmobileautodeta-1,,Car Detailers
CL Concepts Mobile Automotive Detailing,,+1-530-638-2829,,,Redding,CA,P4 | Class B | website has issues | https://reddingdetail.com/,,Car Detailers
Clean Detailing Co - Mobile Detailing - Redding CA,,+1-530-339-5877,,,Redding,CA,P4 | Class B | website has issues | https://cleandetailing.org/,,Car Detailers
Haywards Auto Garage,,+1-530-338-5882,,"2704 Hartnell Ave A, Redding, CA 96002, United States",Redding,CA,P4 | Class B | website has issues | https://brand.site/HaywardsAutoGarage/contact,,Car Detailers
Platinum Detailing,,+1-530-221-8384,,"2251 Hartnell Ave #4, Redding, CA 96002, United States",Redding,CA,P4 | Class B | website has issues | http://cardetailingredding.com/,,Car Detailers
Royal Elite Detail,,+1-530-588-7237,,"1417 Benton Dr, Redding, CA 96003, United States",Redding,CA,P4 | Class B | website has issues | https://www.royalelitedetail.com/,,Car Detailers
Shine On Mobile Detail,,+1-530-420-7474,,,Redding,CA,P4 | Class B | website has issues | http://mobiledetailredding.com/,,Car Detailers
Zenith Details,,+1-530-524-3701,,,Redding,CA,P4 | Class B | website has issues | https://instabio.cc/zenithdetails,,Car Detailers
Drake's Detailing,,+1-850-377-0524,,,Redding,CA,V1 | P4 | Class B | website has objective flaws | http://www.drakesdetailing.online/,,Car Detailers
REDDING CAR AND TRUCK CENTER,,+1-530-522-6000,,,Redding,CA,V1 | P4 | Class B | website has objective flaws | http://reddingcarandtruckcenter.com/,,Car Detailers
