Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Daniel’s Detailing,,+1-805-664-1338,,,Clovis,CA,P4 | Class B | website has issues | https://sites.google.com/view/danielsdetailingfresno/home,,Car Detailers
Fleek Detailing,,+1-559-539-7136,,,Fresno,CA,P4 | Class B | website has issues | http://fleekdetailing.com/,,Car Detailers
Essential detailing,,+1-831-596-4974,,,Madera,CA,P4 | Class B | website has issues | https://essential-detailing.netlify.app/,,Car Detailers
Noble Mobile Auto Detailing & Ceramic Coating’s,,+1-559-880-1818,,"W6F4+7CR Noble Mobile Auto Detailing & Ceramic Coating’s, Madera, CA 93636, United States",Madera,CA,P4 | Class B | website has issues | https://nobledetail.ing/,,Car Detailers
Pristine Auto Detail,,+1-559-716-2476,,"36522 Fender Ave, Madera, CA 93636, United States",Madera,CA,P4 | Class B | website has issues | http://pristinedetailfresno.com/,,Car Detailers
The Shine Shop 559,,+1-559-871-1225,,"2600 Cherry Tree Dr, Madera, CA 93637, United States",Madera,CA,P4 | Class B | website has issues | http://theshineshop559.com/,,Car Detailers
Mobile Detailing & Ceramic Coating,,+1-805-400-7439,,"50051 Deer Meadow Way, Oakhurst, CA 93644, United States",Mariposa,CA,P4 | Class B | website has issues | https://prcarwash.com/,,Car Detailers
AG’s Mobile Auto Detailing,,+1-209-355-3850,,,Merced,CA,P4 | Class B | website has issues | http://www.agsdetailandcoatings.com/,,Car Detailers
D's Detailing,,+1-559-708-1366,,,Madera,CA,V1 | P4 | Class B | website has objective flaws | https://dsdetailing559.com/home-9151-5048-1539-7178-7377-8898-6504-7640-8931,,Car Detailers
Noble Auto Detailing,,+1-508-290-7478,,,Madera,CA,V1 | P4 | Class B | website has objective flaws | http://noble-autodetailing.com/,,Car Detailers
"TTS The Tint Shop, Incorporated",,+1-559-474-7238,,,Madera,CA,V1 | P4 | Class B | website has objective flaws | https://joesmobiletint.com/,,Car Detailers
