Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
1 Up Details – Mobile Car Detailing Merced,,+1-209-777-4739,,,Mariposa,CA,P4 | Class B | website has issues | http://1updetails.com/,,Car Detailers
Above and beyond detailing,,+1-408-770-7521,,"239 Grand Vw Ct, Merced, CA 95341, United States",Merced,CA,P4 | Class B | website has issues | https://aboveandbeyonddetailing209.com/,,Car Detailers
Adventure Auto Detailing LLC,,+1-855-919-5004,,,Merced,CA,P4 | Class B | website has issues | https://pocketsuite.io/book/adventure-auto-detailing,,Car Detailers
Amaros Wash & Detail,,+1-209-587-4182,,"335 Grogan Ave F, Merced, CA 95341, United States",Merced,CA,P4 | Class B | website has issues | https://www.amaroswashanddetail.com/,,Car Detailers
Ceramic Coating Specialists,,+1-209-652-9632,,"2331 R St, Merced, CA 95340, United States",Merced,CA,P4 | Class B | website has issues | https://ceramicoatingspecialists.com/contact-us/,,Car Detailers
Dirty details merced,,+1-209-906-4849,,"697 Chandon Dr, Merced, CA 95348, United States",Merced,CA,P4 | Class B | website has issues | https://dirty-detail-lab.base44.app/,,Car Detailers
Sleek Detailing,,+1-209-930-0477,,,Merced,CA,P4 | Class B | website has issues | http://detailsleek.com/,,Car Detailers
Ultra Car Care,,+1-209-446-8478,,"1275 Wildcat Dr, Merced, CA 95348, United States",Merced,CA,P4 | Class B | website has issues | https://ultraca.co/,,Car Detailers
OCD DETAILS,,+1-775-564-7406,,,Merced,CA,V1 | P4 | Class B | website has objective flaws | https://ocd-details.my.canva.site/your-trusted-neighborhood-mobile-car-detailer,,Car Detailers
RAYVIX Film Solutions LLC,,+1-209-386-2184,,,Merced,CA,V1 | P4 | Class B | website has objective flaws | http://rayvixfilm.myshopify.com/,,Car Detailers
The Wash Shop,,+1-209-349-8994,,,Merced,CA,V1 | P4 | Class B | website has objective flaws | https://washshop.com/merced-ca/,,Car Detailers
