Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Precision Mobile Detailing,,+1-971-240-2707,,,Anaheim,OR,P4 | Class B | website has issues | https://precisionmobiledetailing.lovable.app/,,Car Detailers
Auto Aesthetics Detailing,,+1-971-407-7779,,,Beaverton,OR,P4 | Class B | website has issues | https://autoaesthetics-detailing.com/,,Car Detailers
BSC MOBILE DETAILING,,+1-971-238-7924,,,Beaverton,OR,P4 | Class B | website has issues | https://sites.google.com/bsc-mobiledetailing.com/bscmobiledetailing/home,,Car Detailers
The Auto Doc Mobile Detailing,,+1-503-998-5261,,,Beaverton,OR,P4 | Class B | website has issues | https://theautodocdetailing.wixsite.com/the-auto-doc,,Car Detailers
Y's Mobile Detailing,,+1-971-268-0875,,,Beaverton,OR,P4 | Class B | website has issues | https://ysmobiledetailing.myshopify.com/,,Car Detailers
Prestigious Auto Collection (Auto Spa),,+1-503-476-6254,,,Canby,OR,P4 | Class B | website has issues | https://pacportland.com/,,Car Detailers
Auto Bliss,,+1-503-420-3125,,"2202 NW Birdsdale Ave #8, Gresham, OR 97030, United States",Gresham,OR,P4 | Class B | website has issues | http://www.kreasion.com/,,Car Detailers
Awesome Headlights,,+1-503-888-6848,,,Gresham,OR,P4 | Class B | website has issues | http://awesomeheadlights.com/,,Car Detailers
Buff & Beyond Detailing and Restoration,,+1-971-895-4091,,"19959 E Burnside St, Portland, OR 97233, United States",Gresham,OR,P4 | Class B | website has issues | https://buffandbeyonddetail.com/,,Car Detailers
Elite Shine Auto Detail - Mobile Detailing and Ceramic Coatings,,+1-971-325-1742,,"7430 SE 67th Ave, Portland, OR 97206, United States",Gresham,OR,P4 | Class B | website has issues | https://www.eliteshineautodetailing.com/,,Car Detailers
Epic Auto Detailing & Window Tint,,+1-503-866-5707,,"1660 NE Division St, Gresham, OR 97030, United States",Gresham,OR,P4 | Class B | website has issues | https://epicdetailingpdx.com/,,Car Detailers
Mad Dog Auto Detailing,,+1-971-444-6575,,"1690 NE Division St, Gresham, OR 97030, United States",Gresham,OR,P4 | Class B | website has issues | https://www.maddogdetails.com/,,Car Detailers
Precision Auto Detailing,,+1-503-676-9890,,"839 SW 17th Way, Troutdale, OR 97060, United States",Gresham,OR,P4 | Class B | website has issues | http://detailingprecision.com/,,Car Detailers
Prime Shine Auto Detailing,,+1-360-295-2378,,"4814 NE 107th Ave, Portland, OR 97220, United States",Gresham,OR,P4 | Class B | website has issues | https://primeshineautodetailingvancouver.site/,,Car Detailers
Rags 2 Riches Mobile Auto Detailing,,+1-971-290-1800,,,Gresham,OR,P4 | Class B | website has issues | http://rags2richesautodetailing.com/,,Car Detailers
Ricky's Auto Detailing,,+1-316-347-6751,,"17255 NE Wasco St, Portland, OR 97230, United States",Gresham,OR,P4 | Class B | website has issues | http://www.rickysautodetailing.com/,,Car Detailers
Royal Detailing PDX,,+1-503-501-1014,,"15746 SE Bybee Dr, Portland, OR 97236, United States",Gresham,OR,P4 | Class B | website has issues | http://royaldetailingpdx.com/,,Car Detailers
SUPERB Detailing,,+1-503-954-7078,,,Gresham,OR,P4 | Class B | website has issues | https://superbdeats.com/,,Car Detailers
Wichoshines Auto Mobile Detailing,,+1-971-424-2804,,"11917 SE Mill Ct, Portland, OR 97216, United States",Gresham,OR,P4 | Class B | website has issues | https://calendar.app.google/c6zEv3gQtKmG7j5D8,,Car Detailers
GOOD CHEM DETAILING,,+1-971-480-7591,,,Happy Valley,OR,P4 | Class B | website has issues | https://www.goodchemdetailing.com/,,Car Detailers
