Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
J&M Auto Detailing,,+1-541-224-8223,,,Albany,OR,P4 | Class B | website has issues | https://jmautomotivedetail7.wixsite.com/j-m-auto-detailing,,Car Detailers
Spartan Mobile Detailing,,+1-971-301-4489,,,Albany,OR,P4 | Class B | website has issues | https://sites.google.com/view/spartanmobiledetailingllc/home?authuser=0,,Car Detailers
A&B Automotive Mobile Detailing,,+1-541-391-9077,,,Keizer,OR,P4 | Class B | website has issues | https://abautomotive.my.canva.site/,,Car Detailers
Auto Cosmetic El Gordo,,+1-503-385-3606,,,Keizer,OR,P4 | Class B | website has issues | https://autodetailingelgordo5.godaddysites.com/?fbclid=PAAabtyxPT4OuxKHoRMOM3WcSJ8PTn4vTqVwJ6T7jft4W3omp06mQhvshsuzk_aem_th_Ae5Zb-enDu_a1l1enLcZ7fmpS0AtnRGNzu4qF7v_AoKNRS6CzZzijIFNzSwvtF969MI,,Car Detailers
Auto Detailing A1,,+1-971-716-3177,,"3297 Portland Rd NE, Salem, OR 97301, United States",Keizer,OR,P4 | Class B | website has issues | https://autodetailinga1.com/,,Car Detailers
Detailed Automotives Car Detailing Salem,,+1-971-372-8121,,"3434 Lawrence St SE, Salem, OR 97302, United States",Keizer,OR,P4 | Class B | website has issues | http://detailedautomotives.com/,,Car Detailers
EP Professional Car Detail,,+1-971-240-0164,,,Keizer,OR,P4 | Class B | website has issues | https://www.epcardetail.com/,,Car Detailers
Fine Touch Detailing LLC,,+1-503-931-5646,,"4546 Shawn Ct NE, Salem, OR 97305, United States",Keizer,OR,P4 | Class B | website has issues | https://www.finetouchdetailing.com/,,Car Detailers
GreenState Mobile Detail LLC,,+1-503-510-9499,,,Keizer,OR,P4 | Class B | website has issues | https://greenstatemobiledetail.com/,,Car Detailers
Prime Shine Car Detailing Of Hayesville,,+1-971-387-7025,,"4624 Lancaster Dr NE, Salem, OR 97305, United States",Keizer,OR,P4 | Class B | website has issues | https://primeshinemobileautodetailingsalem.site/,,Car Detailers
Prime Shine Car Detailing Of Keizer,,+1-971-385-5200,,"737 Manbrin Dr NE, Keizer, OR 97303, United States",Keizer,OR,P4 | Class B | website has issues | https://primeshinemobileautodetailingsalem.site/,,Car Detailers
Rugged Cross Auto Detail,,+1-503-930-7649,,"1292 Shady Ln NE, Keizer, OR 97303, United States",Keizer,OR,P4 | Class B | website has issues | http://ruggedcrossautodetail.net/,,Car Detailers
Eison's Detailing,,+1-503-487-1245,,,McMinnville,OR,P4 | Class B | website has issues | https://business.google.com/v/eisons-detaling/03757917743452700359/c2b2/_?caid=14150941396&agid=127232230524&gclid=CjwKCAjwgviIBhBkEiwA10D2j_O-PCIvKTMZi9Z79m2hQyyMhq57ROEoqog0VRetgIPQaNFrevQBnBoC4rsQAvD_BwE&gclid=CjwKCAjwgviIBhBkEiwA10D2j_O-PCIvKTMZi9Z79m2hQyyMhq57ROEoqog0VRetgIPQaNFrevQBnBoC4rsQAvD_BwE,,Car Detailers
NW Mobile Detail,,+1-971-217-8892,,,Newberg,OR,P4 | Class B | website has issues | https://nwmobiledetail0.godaddysites.com/,,Car Detailers
Spec Detailing,,+1-503-451-0322,,,Oregon City,OR,P4 | Class B | website has issues | https://specdetailing.com/,,Car Detailers
Forever Young Mobile Detailing LLC,,+1-971-600-1533,,"7356 Bates Rd S, Salem, OR 97306, United States",Salem,OR,P4 | Class B | website has issues | https://foreveryoungmobiledetailing.com/,,Car Detailers
Franco Signature Detail,,+1-971-990-9416,,"3090 Argyle Dr S, Salem, OR 97302, United States",Salem,OR,P4 | Class B | website has issues | http://francosignaturedetail.com/,,Car Detailers
Mobile Precision Detailing,,+1-503-385-3896,,,Salem,OR,P4 | Class B | website has issues | https://www.mobileprecisiondetailing.com/,,Car Detailers
NVS Auto Spa,,+1-503-303-3760,,,Salem,OR,P4 | Class B | website has issues | http://www.nvsautospa.com/,,Car Detailers
P&C Auto Care,,+1-503-702-2374,,,Salem,OR,P4 | Class B | website has issues | https://pcautocare.my.canva.site/,,Car Detailers
Prime Shine Car Detailing,,+1-971-458-1186,,"108 Village E Way SE #226, Salem, OR 97317, United States",Salem,OR,P4 | Class B | website has issues | https://primeshinemobileautodetailingsalem.site/,,Car Detailers
Prime Shine Car Detailing Of South Salem,,+1-503-831-9741,,"2332 Crestview Dr S, Salem, OR 97302, United States",Salem,OR,P4 | Class B | website has issues | https://primeshinemobileautodetailingsalem.site/,,Car Detailers
Reshine NW LLC,,+1-971-701-8668,,,Salem,OR,P4 | Class B | website has issues | https://sites.google.com/view/reshine-nw-llc/home,,Car Detailers
Willamette Auto Detail,,+1-503-743-1110,,"8770 Aumsville Hwy SE, Salem, OR 97317, United States",Salem,OR,P4 | Class B | website has issues | https://willametteautodetail.com/,,Car Detailers
Espy's Automotive Detail's LLC,,+1-936-239-7414,,"14081 NE Boones Ferry Rd, Woodburn, OR 97071, United States",Woodburn,OR,P4 | Class B | website has issues | http://espyspaintcorrections.com/,,Car Detailers
Jaguar Detailing,,+1-503-989-2097,,,Woodburn,OR,P4 | Class B | website has issues | https://jaguardetailing.com/,,Car Detailers
Prime Shine Car Detailing,,+1-971-395-5831,,"1551 Center St NE #126, Salem, OR 97301, United States",Salem,OR,P4 | Class B | website has issues | https://primeshinemobileautodetailingsalem.site/,,Car Detailers
CL Auto Detailing LLC,,+1-978-226-3316,,,Keizer,OR,V1 | P4 | Class B | website has objective flaws | https://www.clautoservice.com/,,Car Detailers
Car Toys,,+1-503-540-3423,,,Salem,OR,V1 | P4 | Class B | website has objective flaws | https://cartoysoregon.com/salem/,,Car Detailers
Freeman Service Center & Collision Repair | Salem,,+1-503-485-0303,,,Salem,OR,V1 | P4 | Class B | website has objective flaws | https://www.freemanmotor.com/,,Car Detailers
JB Detailing LLC,,+1-503-999-9615,,,Woodburn,OR,V1 | P4 | Class B | website has objective flaws | https://getjbdetailing.com/,,Car Detailers
