Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Ashland Auto Shine,,+1-541-539-7763,,,Ashland,OR,P4 | Class B | website has issues | http://ashlandautoshine.com/,,Car Detailers
Siskiyou Cleaning Services,,+1-541-329-9185,,,Ashland,OR,P4 | Class B | website has issues | http://siskiyoucleaningservices.com/,,Car Detailers
Bogarts Auto Detail,,+1-541-776-6944,,"1059 Court St Suite 103, Medford, OR 97501, United States",Central Point,OR,P4 | Class B | website has issues | http://bogartsautodetail.net/,,Car Detailers
ENG Mobile Detailing,,+1-541-262-2998,,,Central Point,OR,P4 | Class B | website has issues | http://engmobiledetailing.com/,,Car Detailers
"Fully Involved Auto Detailing, LLC",,+1-541-261-6017,,,Central Point,OR,P4 | Class B | website has issues | http://www.getfiad.com/,,Car Detailers
Gloss Boss Mobile Auto Detailing,,+1-541-778-6520,,,Central Point,OR,P4 | Class B | website has issues | http://www.glossbossoregon.com/,,Car Detailers
Hands On Detail,,+1-541-776-2227,,"943 Automation Way, Medford, OR 97504, United States",Central Point,OR,P4 | Class B | website has issues | http://www.handsondetail.org/,,Car Detailers
Mainline Auto Detailing,,+1-541-816-7459,,,Central Point,OR,P4 | Class B | website has issues | https://mainlineauto.surge.sh/,,Car Detailers
Premier Detail and Polish,,+1-541-779-1684,,"4495 Table Rock Rd, Central Point, OR 97502, United States",Central Point,OR,P4 | Class B | website has issues | http://www.premierdetailnpolish.com/,,Car Detailers
Pro Cleanse Mobile Detail,,+1-541-625-3119,,,Central Point,OR,P4 | Class B | website has issues | https://www.procleansedetail.com/,,Car Detailers
Ridley's Auto Spa LLC,,+1-541-630-1765,,"3373 Perrydale Ct, Medford, OR 97501, United States",Central Point,OR,P4 | Class B | website has issues | https://ridleysautospa.com/,,Car Detailers
Rogue Gloss Auto Detailing,,+1-541-630-3874,,,Central Point,OR,P4 | Class B | website has issues | https://roguegloss.com/,,Car Detailers
Rub A Dub Auto Detailing,,+1-458-658-1288,,"400 Madrona St, Medford, OR 97501, United States",Central Point,OR,P4 | Class B | website has issues | https://www.rubadubautodetailing.com/,,Car Detailers
Saxbury’s Mobile Detail,,+1-541-200-8545,,"2580 Beall Ln, Central Point, OR 97502, United States",Central Point,OR,P4 | Class B | website has issues | https://saxburysmobiledetail.com/,,Car Detailers
Shine Time Mobile Detailing,,+1-541-326-6386,,,Central Point,OR,P4 | Class B | website has issues | http://shinetimemobiledetail.com/,,Car Detailers
Wash Buggy Auto Spa & Wrap Lab,,+1-541-778-4226,,"2718 W Main St, Medford, OR 97501, United States",Central Point,OR,P4 | Class B | website has issues | http://www.thewashbuggyautospa.com/,,Car Detailers
southern oregon detailing,,+1-541-622-2960,,,Central Point,OR,P4 | Class B | website has issues | https://polish-medford.emergent.host/,,Car Detailers
Mount.ViewAutoDetailing,,+1-541-450-8953,,,Grants Pass,OR,P4 | Class B | website has issues | https://mountviewautodetailing.godaddysites.com/,,Car Detailers
Rogue Forge Mobile Detailing,,+1-541-531-2008,,,Grants Pass,OR,P4 | Class B | website has issues | https://rogueforgedetail.com/,,Car Detailers
Squeaky Clean Detailing,,+1-541-227-9235,,,Medford,OR,P4 | Class B | website has issues | http://squeakycleandtl.com/home,,Car Detailers
