Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Attention 2 Detail Mobile Auto Detailing,,+1-503-515-6578,,"9145 SW Yearling Pl, Beaverton, OR 97008, United States",Beaverton,OR,P4 | Class B | website has issues | http://www.attention2detail.biz/,,Car Detailers
Auto Reconditioning UBAD,,+1-503-574-4020,,"12620 SW Canyon Rd, Beaverton, OR 97005, United States",Beaverton,OR,P4 | Class B | website has issues | https://ubadautodetail.com/,,Car Detailers
Beaverton Shine Garage | Auto Detailing Beaverton,,+1-971-910-7939,,"8100 SW Miller Hill Rd, Beaverton, OR 97007, United States",Beaverton,OR,P4 | Class B | website has issues | http://beavertonshinegarage.com/,,Car Detailers
Custom Correction Mobile Detailing,,+1-971-267-7128,,"3944 SW Pinewood Way, Beaverton, OR 97078, United States",Beaverton,OR,P4 | Class B | website has issues | http://www.customcorrectiondetailing.com/,,Car Detailers
Detailor,,+1-503-703-0004,,"18051 SW Lower Boones Ferry Rd Apt 143, Tigard, OR 97224, United States",Beaverton,OR,P4 | Class B | website has issues | http://detailor.info/,,Car Detailers
Gallagher Auto Spa,,+1-503-878-5153,,"8750 SW Old Tualatin-Sherwood Rd, Tualatin, OR 97062, United States",Beaverton,OR,P4 | Class B | website has issues | http://www.gallagherautospa.com/,,Car Detailers
GoDetail Ceramic Coatings,,+1-503-386-4289,,"10950 SW 5th St, Beaverton, OR 97005, Portland, OR 97225, United States",Beaverton,OR,P4 | Class B | website has issues | https://www.godetail.com/ceramic-coating-portland/,,Car Detailers
Kreasion Auto Detailing,,+1-503-336-0524,,"2900 SE Cornelius Pass Rd Ste 337, Hillsboro, OR 97123, United States",Beaverton,OR,P4 | Class B | website has issues | http://www.kreasion.com/,,Car Detailers
Starr Detailz,,+1-503-385-7152,,,Beaverton,OR,P4 | Class B | website has issues | https://starrdetailz.com/?utm_source=omg-gbp&utm_medium=webclick,,Car Detailers
DetailX,,+1-971-777-3803,,"1040 Hartford Dr, Forest Grove, OR 97116, United States",Forest Grove,OR,P4 | Class B | website has issues | https://gavinvirden24.wixsite.com/detailx,,Car Detailers
Forest Grove Auto Detail,,+1-971-409-1049,,"1929 23rd Ave, Forest Grove, OR 97116, United States",Forest Grove,OR,P4 | Class B | website has issues | https://www.forestgroveautodetail.com/,,Car Detailers
Jonny Law Detail,,+1-503-686-9061,,,Forest Grove,OR,P4 | Class B | website has issues | http://jonnylawdetail.com/,,Car Detailers
Fix-N-Foam Vehicle Solutions,,+1-971-505-1023,,,Hillsboro,OR,P4 | Class B | website has issues | http://fixnfoam.com/,,Car Detailers
Armor Auto Detailing,,+1-971-328-4823,,,Lake Oswego,OR,P4 | Class B | website has issues | https://armorautodetailing.com/,,Car Detailers
mad.pdx,,+1-971-245-9112,,"7749 SW Afton Ln, Tualatin, OR 97062, United States",Lake Oswego,OR,P4 | Class B | website has issues | https://www.madpdxdetail.com/,,Car Detailers
Willy's Genuine Auto Detail,,+1-503-925-1281,,"13985 SW Tualatin-Sherwood Rd #100, Sherwood, OR 97140, United States",Newberg,OR,P4 | Class B | website has issues | http://genuinedetailing.com/,,Car Detailers
Cbrax Mobile Detailing,,+1-541-270-6813,,,Newport,OR,P4 | Class B | website has issues | https://sites.google.com/view/cbrax-mobile-detailing/home?authuser=0,,Car Detailers
PDX Detail,,+1-503-806-5729,,"13017 SW Herman Rd, Tualatin, OR 97062, United States",Sherwood,OR,P4 | Class B | website has issues | http://www.pdxdetail.com/contact-us/,,Car Detailers
