Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
"Angels Touch Detailing, LLC",,+1-541-389-6585,,"225 NE Seward Ave, Bend, OR 97701, United States",Bend,OR,P4 | Class B | website has issues | https://angelstouchdetailing.com/,,Car Detailers
Bend Auto Detailing,,+1-541-909-8288,,,Bend,OR,P4 | Class B | website has issues | http://www.bendautodetailing.com/,,Car Detailers
Car Detailing Bend Oregon,,+1-541-640-5501,,,Bend,OR,P4 | Class B | website has issues | https://www.cardetailingbendoregon.com/,,Car Detailers
Collins Premier Auto Detailing,,+1-541-948-1818,,"21085 Quail Ln, Bend, OR 97703, United States",Bend,OR,P4 | Class B | website has issues | https://www.collinspad.com/,,Car Detailers
Drive Clear Mobile,,+1-971-344-3693,,,Bend,OR,P4 | Class B | website has issues | https://driveclearmobile.com/,,Car Detailers
Elevated Detail,,+1-541-213-4140,,"63237 Cimarron Dr, Bend, OR 97701, United States",Bend,OR,P4 | Class B | website has issues | http://elevateddetailbend.com/,,Car Detailers
JnA AutoSpa Mobile detailing,,+1-541-728-1772,,"1080 SE Hwy 97, Bend, OR 97702, United States",Bend,OR,P4 | Class B | website has issues | https://www.jnaautospamobile.com/,,Car Detailers
Joe Detail,,+1-541-640-9390,,,Bend,OR,P4 | Class B | website has issues | https://joedetail.com/,,Car Detailers
KC Detailing,,+1-503-481-5263,,,Bend,OR,P4 | Class B | website has issues | https://kalvenbangsund.wixsite.com/kc-detailing,,Car Detailers
Mario's Automotive Detailing,,+1-541-815-8555,,"20475 Brandis Ct, Bend, OR 97701, United States",Bend,OR,P4 | Class B | website has issues | http://www.mariosautomotivedetailing.com/location---contact.html,,Car Detailers
Mobile Auto Shine Society,,+1-503-931-3364,,,Bend,OR,P4 | Class B | website has issues | http://mobileautoshinesociety.net/,,Car Detailers
Nice & SHINE MOBILE Car Wash & DETAILING SERVICE,,+1-541-678-1047,,"Central, Bend, OR 97701, United States",Bend,OR,P4 | Class B | website has issues | http://www.niceandshine.us/,,Car Detailers
Porter Detailing,,+1-541-771-2715,,"2522 NE 2nd St, Bend, OR 97701, United States",Bend,OR,P4 | Class B | website has issues | https://porterdetailing.com/,,Car Detailers
[BOSSdetail],,+1-541-408-6044,,"62987 Plateau Dr, Bend, OR 97701, United States",Bend,OR,P4 | Class B | website has issues | https://bossdetailbend.com/,,Car Detailers
Diamond In The Rough Detailing and Ceramic Coatings,,+1-541-527-4777,,,Prineville,OR,P4 | Class B | website has issues | http://www.diamonddetailsupplies.com/,,Car Detailers
Flag City Detailing & Ceramic Coatings,,+1-541-647-4307,,"303 SE Jackson St Ste D, Redmond, OR 97756, United States",Prineville,OR,P4 | Class B | website has issues | http://flagcityusa.us/,,Car Detailers
Auto Shine Detailing,,+1-425-577-8774,,,Redmond,OR,V1 | P4 | Class B | website has objective flaws | http://autoshinedetailingllc.com/,,Car Detailers
