Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Dragonfly Detailing,,+1-503-502-7417,,"119 NW 4th Ave, Canby, OR 97013, United States",Canby,OR,P4 | Class B | website has issues | http://www.dragonflydetailing.com/,,Car Detailers
Wilsonville Auto Detail,,+1-971-280-1516,,"29030 SW Town Center Loop E, Wilsonville, OR 97070, United States",Canby,OR,P4 | Class B | website has issues | http://www.wilsonvilleautodetail.com/,,Car Detailers
Detail Pro Max Car Wash,,+1-971-500-2223,,,Gresham,OR,P4 | Class B | website has issues | https://dot.cards/detailpromax?s=s,,Car Detailers
Regular Joe's Detailing,,+1-971-404-6518,,"7491 SE Overland St, Milwaukie, OR 97222, United States",Gresham,OR,P4 | Class B | website has issues | http://regularjoesdetailing.com/,,Car Detailers
American Quality LLC,,+1-503-679-0184,,,Happy Valley,OR,P4 | Class B | website has issues | https://americanquality-llc.com/home,,Car Detailers
Driveway Detail PDX,,+1-971-272-3550,,,Happy Valley,OR,P4 | Class B | website has issues | http://drivewaydetailpdx.wixsite.com/website,,Car Detailers
H20LUX,,+1-971-263-1540,,,Happy Valley,OR,P4 | Class B | website has issues | https://h20lux.com/,,Car Detailers
Noble Auto Spa,,+1-971-220-0110,,"Damascus, OR 97089, United States",Happy Valley,OR,P4 | Class B | website has issues | https://noble-auto-spa.base44.app/,,Car Detailers
Paradise Auto Detailing,,+1-503-744-6976,,,Lake Oswego,OR,P4 | Class B | website has issues | https://paradisefinish.com/,,Car Detailers
Superior Shine Auto Detailing Service,,+1-503-303-4178,,"4281 SE Roethe Rd, Portland, OR 97267, United States",Lake Oswego,OR,P4 | Class B | website has issues | https://www.superiorshinepdx.com/,,Car Detailers
Hand Car Wash Club Car Detailing,,+1-833-716-3639,,,Milwaukie,OR,P4 | Class B | website has issues | https://www.handcarwashclub.com/,,Car Detailers
Sparkling Solutions Mobile Detailing,,+1-503-506-7985,,,Oregon City,OR,P4 | Class B | website has issues | http://sparklingsolutionsmd.com/,,Car Detailers
E&N AUTO REPAIR,,+1-503-850-4730,,,Milwaukie,OR,V1 | P4 | Class B | website has objective flaws | http://enreconditioning.org/,,Car Detailers
GT Detail Co,,+1-971-336-5957,,,Oregon City,OR,V1 | P4 | Class B | website has objective flaws | http://gtdetailco.com/,,Car Detailers
Tigard Auto Body Repair by Ace Reconditioning,,+1-503-620-3593,,,Tigard,OR,V1 | P4 | Class B | website has objective flaws | http://acecars.net/,,Car Detailers
