Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Sir Brush Cleaning,,+1-541-497-0635,,,Cottage Grove,OR,P4 | Class B | website has issues | https://sirbrushcleaningservices.com/,,Car Detailers
Autorem,,+1-541-788-0062,,"3780 Kathryn Ave Unit c, Springfield, OR 97478, United States",Eugene,OR,P4 | Class B | website has issues | https://www.oregonautorem.com/,,Car Detailers
C&J Cleaning Services,,+1-541-221-4309,,,Eugene,OR,P4 | Class B | website has issues | https://celery-plums-easy.squarespace.com/home,,Car Detailers
Coop's Complete Care,,+1-541-632-3852,,,Eugene,OR,P4 | Class B | website has issues | https://coopscompletecare.com/,,Car Detailers
Detail Destination,,+1-541-320-4461,,"E 12th Ave, Eugene, OR 97401, United States",Eugene,OR,P4 | Class B | website has issues | http://www.detail-destination.com/,,Car Detailers
Discount Detail - Eugene Oregon,,+1-458-319-0892,,,Eugene,OR,P4 | Class B | website has issues | https://www.discount-detail.com/,,Car Detailers
JL Mobile Detail,,+1-541-852-7394,,,Eugene,OR,P4 | Class B | website has issues | https://jlmobiledetailbooking.netlify.app/,,Car Detailers
Maximus Detail,,+1-541-525-0165,,,Eugene,OR,P4 | Class B | website has issues | https://maximusdetail.biz/,,Car Detailers
Cascade Curbside,,+1-541-357-8062,,,Springfield,OR,P4 | Class B | website has issues | https://cascadecurbside.wixstudio.com/detail,,Car Detailers
Eugene Car Detailing,,+1-541-275-9972,,,Springfield,OR,P4 | Class B | website has issues | http://eugenecardetailing.com/,,Car Detailers
Virginia Mobile Detailing,,+1-571-505-0560,,,Springfield,OR,V1 | P4 | Class B | website has objective flaws | https://virginiamobiledetailing.com/,,Car Detailers
