niche,class,state,county,batch_file,leads,status,date_loaded,date_called,booked,notes
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-01.csv,100,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-02.csv,100,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-03.csv,99,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-04.csv,99,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-05.csv,99,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-06.csv,99,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-07.csv,99,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-08.csv,99,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,02-ORANGE,orange-ca-class-a-batch-01.csv,98,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,02-ORANGE,orange-ca-class-a-batch-02.csv,97,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,02-ORANGE,orange-ca-class-a-batch-03.csv,97,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,02-ORANGE,orange-ca-class-a-batch-04.csv,97,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,03-SAN-BERNARDINO,san-bernardino-ca-class-a-batch-01.csv,87,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,03-SAN-BERNARDINO,san-bernardino-ca-class-a-batch-02.csv,87,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,03-SAN-BERNARDINO,san-bernardino-ca-class-a-batch-03.csv,86,untouched,,,,
CAR-DETAILERS,CLASS-A,CA,03-SAN-BERNARDINO,san-bernardino-ca-class-a-batch-04.csv,86,untouched,,,,
