Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
The Detail Group LLC,,+1-818-390-0301,,,Richmond,CA,P3 | Class A | website broken or unreachable | https://www.thedetailgroup.net/,,Car Washes
Alhambra Car Wash,,+1-626-282-5666,,,Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/pages/Alhambra-Car-Wash-Inc/190547640995719,,Car Washes
Atlantic Self Serve Car Wash,,+1-323-268-7125,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Evergreen Car Wash & Detail,,+1-323-599-9266,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Exclusive Fast Car Wash,,+1-323-332-2980,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Fred’s Car Wash - Hand Car Wash,,+1-323-365-8009,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Mission Auto Service & Car Wash,,+1-323-570-4045,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Temple City Car Wash,,+1-626-287-9938,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Yañez detailing,,+1-323-649-2351,,,Alhambra,CA,P2 | Class A | no website found on Google,,Car Washes
Arrow Hand Car Wash,,+1-626-339-3396,,,Baldwin Park,CA,P2 | Class A | no website found on Google,,Car Washes
Auto Detailing Cali Carwash,,+1-818-524-8639,,,Baldwin Park,CA,P2 | Class A | no website found on Google,,Car Washes
Baldwin Park Car Wash,,+1-626-814-8888,,,Baldwin Park,CA,P2 | Class A | no website found on Google,,Car Washes
Cano_Details,,+1-626-838-7182,,,Baldwin Park,CA,P2 | Class A | no website found on Google,,Car Washes
Flans Car Wash,,+1-562-866-8291,,,Bellflower,CA,P2 | Class A | no website found on Google,,Car Washes
Moe's Car Wash,,+1-562-925-1121,,,Bellflower,CA,P2 | Class A | no website found on Google,,Car Washes
Robert’s Auto Detailing,,+1-562-519-8172,,,Bellflower,CA,P2 | Class A | no website found on Google,,Car Washes
Velazquez Car Wash,,+1-323-612-1612,,,Bellflower,CA,P2 | Class A | no website found on Google,,Car Washes
Best Mobile Car Wash and Detailing,,+1-818-641-9534,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Best West Car Wash,,+1-323-938-0404,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Cali shine rite detail mobile,,+1-818-579-0583,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Coin-Op Car Wash,,+1-818-480-2669,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
"Crescenta Valley Car Wash, Detail & Lube Center",,+1-818-248-3931,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
FX Mobile Detailing,,+1-818-458-4262,,,Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/fx_detailing_?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Washes
JC MOBILE WASH & detailing,,+1-562-606-3694,,,Burbank,CA,P3 | Class A | domain parked or for sale | https://jc-mobile-wash.com/,,Car Washes
Johnny's Mobile Detailing,,+1-818-987-6034,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Maju’s Mobile Auto Detail,,+1-213-422-1173,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Marsel mobile detailing,,+1-818-304-1217,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Noe’s Mobile Car Wash,,+1-818-430-5800,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Plaza Hand Car Wash,,+1-818-506-4690,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Rahhs Auto Detail,,+1-747-447-9217,,,Burbank,CA,P3 | Class A | website broken or unreachable | https://rahhsautodetail.as.me/schedule,,Car Washes
Sos Mobile Car Wash LA,,+1-475-303-3003,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Victory Express Carwash,,+1-818-506-1727,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
Vineland Car Wash,,+1-818-508-9313,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Washes
A1 Auto Detailing,,+1-424-376-6342,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
All star mobile car wash,,+1-424-407-9966,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Andres Car Wash,,+1-562-247-1387,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Aquamax Express Carwash,,+1-310-516-7100,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Auto Spa juanito,,+1-310-784-7260,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Calderon Auto detailing,,+1-310-863-9509,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Carson Car Wash & Detailing Center,,+1-310-830-5600,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Carson-Denker Car Wash,,+1-424-704-1471,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
