Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Auto Detailing El Falcon,,+1-562-547-1176,,,Bellflower,CA,P2 | Class A | no website found on Google,,Car Washes
3stepdetailing,,+1-310-427-5698,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Arkham Auto Perfection Shine LLC,,+1-323-338-1903,,,Carson,CA,P2 | Class A | no website found on Google,,Car Washes
Crescent Car wash,,+1-714-761-2800,,,Lakewood,CA,P2 | Class A | no website found on Google,,Car Washes
Paul's Car Wash & Lube Center,,+1-714-828-1880,,,Lakewood,CA,P2 | Class A | no website found on Google,,Car Washes
Clean Rides Mobile Wash and Detail,,+1-312-866-9501,,,Long Beach,CA,P3 | Class A | website broken or unreachable | https://www.washyourwhip.com/,,Car Washes
Mrm Mobile Detail LLC,,+1-805-815-5031,,,Pomona,CA,P2 | Class A | no website found on Google,,Car Washes
JJIREH MOBILE CAR WASH DETAILING,,+1-747-998-9322,,,Whittier,CA,P2 | Class A | no website found on Google,,Car Washes
America Mobile Car Wash & Professional Detailing,,+1-949-500-4725,,,Anaheim,CA,P2 | Class A | no website found on Google,,Car Washes
Auto Shine Mobile Car Wash & Detailing,,+1-714-398-9870,,,Anaheim,CA,P2 | Class A | no website found on Google,,Car Washes
Daytona Car Wash,,+1-714-774-9274,,,Anaheim,CA,P2 | Class A | no website found on Google,,Car Washes
Detail therapy mobile car wash,,+1-714-396-4242,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/detail.therapy.mobile.car.wash?igsh=OGQ5ZDc2ODk2ZA==&utm_source=qr,,Car Washes
Jerry’s Mobile Detailing,,+1-714-423-3496,,,Anaheim,CA,P2 | Class A | no website found on Google,,Car Washes
Lincoln West Car Wash,,+1-714-855-4897,,,Anaheim,CA,P2 | Class A | no website found on Google,,Car Washes
Soap City Car Wash Anaheim,,+1-562-331-2618,,,Anaheim,CA,P3 | Class A | website broken or unreachable | http://www.soapcitycarwashanaheim.com/,,Car Washes
Beach & La Mirada Car Wash / Valero Gas,,+1-714-994-1099,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
Dre’s OC Detailing,,+1-562-440-2489,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
LINCOLN EXPRESS CAR WASH,,+1-714-220-4990,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
O.C. Express Car Wash,,+1-714-677-2079,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
Royal mobile detailing,,+1-714-719-8635,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
Smartpoint Express Carwash,,+1-714-736-0167,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
Driven Mobile Detailing,,+1-714-594-8036,,,Costa Mesa,CA,P3 | Class A | website broken or unreachable | https://drivenmobiledetailing.com/,,Car Washes
Hernandez Mobile Carwash,,+1-714-328-9986,,,Costa Mesa,CA,P2 | Class A | no website found on Google,,Car Washes
Orange Coast Shine,,+1-949-274-9638,,,Costa Mesa,CA,P2 | Class A | no website found on Google,,Car Washes
Royal Hand Car Wash,,+1-714-775-1232,,,Costa Mesa,CA,P2 | Class A | no website found on Google,,Car Washes
Unique Hand Wash and Auto Detailing,,+1-714-580-7146,,,Costa Mesa,CA,P2 | Class A | no website found on Google,,Car Washes
Xecutiveline,,+1-949-619-9985,,,Costa Mesa,CA,P3 | Class A | website broken or unreachable | https://www.xecutiveline.com/,,Car Washes
olidens oc mobile carwash,,+1-661-376-9451,,,Costa Mesa,CA,P2 | Class A | no website found on Google,,Car Washes
The Original Commonwealth Fullerton Car Wash,,+1-714-713-2789,,,Fullerton,CA,P2 | Class A | no website found on Google,,Car Washes
$1 Self Carwash,,+1-714-636-7220,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Anaheim West Car wash,,+1-714-537-7982,,,Garden Grove,CA,P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/pages/Anaheim-West-Car-Wash/147092785321815,,Car Washes
Auto Detail Dylan,,+1-714-322-2940,,,Garden Grove,CA,P3 | Class A | website broken or unreachable | http://www.autodetaildylan.com/,,Car Washes
Brookhurst 100% Hand Wash and Detail Center,,+1-714-485-9416,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Chapman Car Wash,,+1-714-539-2208,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
David's Mobil car wash and detail,,+1-714-350-9801,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Gilberts mobile car wash,,+1-714-913-5204,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Mr Bubble’s Mobile Wash,,+1-714-269-8969,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Oasis Car Wash,,+1-714-530-0880,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Story Ride Car Detailing,,+1-818-450-5181,,,Garden Grove,CA,P3 | Class A | website broken or unreachable | https://stormyridecardetailing.site/,,Car Washes
savage auto detailing,,+1-714-235-3973,,,Garden Grove,CA,P2 | Class A | no website found on Google,,Car Washes
CleanCo Mobile Detailing,,+1-949-680-7537,,,Huntington Beach,CA,P2 | Class A | no website found on Google,,Car Washes
DetailsByGlen,,+1-714-797-4296,,,Huntington Beach,CA,P2 | Class A | no website found on Google,,Car Washes
HB Car wash & coffee bar llc,,+1-714-893-9400,,,Huntington Beach,CA,P2 | Class A | no website found on Google,,Car Washes
Soapy Details,,+1-714-561-7050,,,Huntington Beach,CA,P2 | Class A | no website found on Google,,Car Washes
