Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Glossmob Mobile Detailing,,+1-626-344-8065,,,Glendale,CA,P2 | Class A | no website found on Google,,Car Washes
Detailing Dons,,+1-562-386-3736,,,Buena Park,CA,P2 | Class A | no website found on Google,,Car Washes
Benji's Mobile Car Detailing,,+1-951-923-8297,,,Hemet,CA,P2 | Class A | no website found on Google,,Car Washes
Upright Detailing,,+1-909-682-9494,,,Hemet,CA,P2 | Class A | no website found on Google,,Car Washes
AD AUTO DETAIL,,+1-323-796-2434,,,Chino,CA,P2 | Class A | no website found on Google,,Car Washes
Enzo Auto Beauty-STEK PPF- Mobile Detailing,,+1-213-269-2949,,,Chino,CA,P1 | Class A | only a Facebook/booking/directory page | https://enzoautobeauty.square.site/s/appointments?fbclid=PAVERFWAQHP_ZleHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafgE1t-I7ENlyo3OdLBfcATGHLNrtQUtCRYTW4jQHxjekbOupOeTFWOr-tYnw_aem_1BM-NAIRLiYHnTGgzjbyHw,,Car Washes
Soft Touch Car Wash,,+1-909-628-9407,,,Chino,CA,P2 | Class A | no website found on Google,,Car Washes
Wash N Vac,,+1-909-464-9593,,,Chino,CA,P2 | Class A | no website found on Google,,Car Washes
Fontana Express Full Service Car Wash,,+1-909-822-1313,,,Fontana,CA,P2 | Class A | no website found on Google,,Car Washes
Fountain Blu Express Car Wash,,+1-909-333-1247,,,Fontana,CA,P3 | Class A | website broken or unreachable | https://www.fountainbluexpresscarwash.com/,,Car Washes
Lilac Car Wash,,+1-909-491-9111,,,Fontana,CA,P2 | Class A | no website found on Google,,Car Washes
Ponderosa Self-Serve Car Wash,,+1-909-823-6607,,,Fontana,CA,P2 | Class A | no website found on Google,,Car Washes
Reco Shine Mobile Detailing,,+1-442-320-3967,,,Fontana,CA,P2 | Class A | no website found on Google,,Car Washes
SCRUB RUB TRUCK AND TRAILER REPAIR,,+1-949-278-3364,,,Fontana,CA,P2 | Class A | no website found on Google,,Car Washes
