Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
JP Auto Mobile Wash & Detailing,,+1-714-627-6783,,,Whittier,CA,P2 | Class A | no website found on Google,,Car Washes
Castillo auto detailing,,+1-714-853-7690,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Corona Circle City Car Wash,,+1-951-547-4112,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Fervent Detailing,,+1-951-768-1256,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Guzman’s Mobile Car wash,,+1-562-541-3592,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Norco Car & Truck Wash,,+1-951-735-4696,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Reyes Mobile Detail,,+1-951-578-9909,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Squeeky Clean Car Wash $5,,+1-951-736-0969,,,Corona,CA,P2 | Class A | no website found on Google,,Car Washes
Family Car Wash,,+1-909-208-8023,,,Hemet,CA,P2 | Class A | no website found on Google,,Car Washes
Joe's automotive detailing,,+1-951-542-9026,,,Hemet,CA,P2 | Class A | no website found on Google,,Car Washes
Ramona Car Wash,,+1-951-658-7524,,,Hemet,CA,P2 | Class A | no website found on Google,,Car Washes
Sunshine Car Wash,,+1-951-765-9866,,,Hemet,CA,P2 | Class A | no website found on Google,,Car Washes
2.0 Auto Detailing,,+1-760-213-3272,,,Indio,CA,P2 | Class A | no website found on Google,,Car Washes
Alba's Mobile Detail & Car Wash,,+1-760-347-7812,,,Indio,CA,P2 | Class A | no website found on Google,,Car Washes
Cain Auto Detail,,+1-760-587-9462,,,Indio,CA,P3 | Class A | website broken or unreachable | http://cainautodetail.com/,,Car Washes
Desert Cities Mobile Car Wash and Detail,,+1-760-485-9031,,,Indio,CA,P2 | Class A | no website found on Google,,Car Washes
EZ Self Car Wash,,+1-760-775-7555,,,Indio,CA,P2 | Class A | no website found on Google,,Car Washes
El Reyes Mobil Car Wash,,+1-760-393-6675,,,Indio,CA,P3 | Class A | website broken or unreachable | http://wwwlreyesmobilcarwahs.com/,,Car Washes
Executive Car Wash,,+1-760-200-0141,,,Indio,CA,P3 | Class A | website broken or unreachable | https://theexecutivecarwash.com/,,Car Washes
Flores Mobile Car Wash and Detail,,+1-760-485-0367,,,Indio,CA,P2 | Class A | no website found on Google,,Car Washes
Mr T's Mobile Detailing LLC,,+1-442-454-8565,,,Indio,CA,P2 | Class A | no website found on Google,,Car Washes
Star Wash Self Serve Car Wash,,+1-760-609-0910,,,Indio,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/starwashselfserve?fbclid=IwZXh0bgNhZW0CMTAAAR2DO358Ub4tkujWJa4ydX75mjIFwZUUdYPeyo6hy5wALhjg2FmDUBR3cBw_aem_AdZcwNOah8cFDJuD3JpvXdaZJgniAR1mh2OZsIPfm_0E_ywCe8agGauBCRmxgTMIysLHPYv1EcRDWnimdYnToTP-,,Car Washes
Casino Handwash & Detail,,+1-951-245-9274,,,Menifee,CA,P3 | Class A | website broken or unreachable | https://brand.site/casinohandwashandetail-2,,Car Washes
R&E Car Wash and Detailing,,+1-951-746-6070,,,Menifee,CA,P2 | Class A | no website found on Google,,Car Washes
ZTB Detailing,,+1-760-936-1115,,,Menifee,CA,P2 | Class A | no website found on Google,,Car Washes
A Personal Touch Landscape,,+1-909-489-4251,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Alessandro Auto Spa Inc.,,+1-951-653-3700,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
DS Mobile Detailing,,+1-951-713-3354,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Diamond Detail Co.,,+1-951-565-7536,,,Moreno Valley,CA,P1 | Class A | only a Facebook/booking/directory page | https://diamond-detail-co.square.site/,,Car Washes
Good Time Car Wash,,+1-951-214-2023,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
IT'S WHAT I DO MOBILE DETAILING,,+1-951-236-6573,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Plaza Hand Car Wash,,+1-951-697-4420,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
So Phresh So Clean Auto Detail (SPSC_AUTODETAIL),,+1-909-709-7733,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Tiger mobile car wash truck wash auto detailer,,+1-951-597-3963,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Traffic Stopperz Auto Lab,,+1-725-285-6389,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
iCarwash Express,,+1-951-243-1600,,,Moreno Valley,CA,P2 | Class A | no website found on Google,,Car Washes
California Oaks Car Wash,,+1-951-696-5004,,,Murrieta,CA,P2 | Class A | no website found on Google,,Car Washes
Car Wash Wildomar,,+1-951-678-7500,,,Murrieta,CA,P2 | Class A | no website found on Google,,Car Washes
Skyview Touchless Automatic Self Serve Car Wash,,+1-951-290-3098,,,Murrieta,CA,P2 | Class A | no website found on Google,,Car Washes
Soak N Shine Express Car Wash,,+1-951-696-8291,,,Murrieta,CA,P3 | Class A | website broken or unreachable | https://soaknshineexpresscarwash.com/,,Car Washes
Soapy Dudes Mobile Detail,,+1-760-219-7197,,,Murrieta,CA,P2 | Class A | no website found on Google,,Car Washes
Sunny Suds Mobile Car Wash,,+1-760-207-2740,,,Murrieta,CA,P2 | Class A | no website found on Google,,Car Washes
Tiger Shine Express Car Wash,,+1-951-227-7227,,,Murrieta,CA,P3 | Class A | website broken or unreachable | https://tigershinecarwash.com/,,Car Washes
Winchester Self Serve Car Wash,,+1-760-801-4399,,,Murrieta,CA,P2 | Class A | no website found on Google,,Car Washes
A&C Desert Auto Spa,,+1-760-774-5246,,,Palm Desert,CA,P2 | Class A | no website found on Google,,Car Washes
All Valley V.I.P,,+1-760-895-5443,,,Palm Desert,CA,P2 | Class A | no website found on Google,,Car Washes
Desert exotic mobile car wash/detailing,,+1-442-484-4130,,,Palm Desert,CA,P2 | Class A | no website found on Google,,Car Washes
Detail Master,,+1-760-574-0642,,,Palm Desert,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/detailmaster124?igsh=c3RzaWhxbHV4b2xx,,Car Washes
Dos Bros Mobile Detailing,,+1-442-306-8473,,,Palm Desert,CA,P2 | Class A | no website found on Google,,Car Washes
Palms to Pines Auto Spa,,+1-760-969-9433,,,Palm Desert,CA,P2 | Class A | no website found on Google,,Car Washes
Airport Car Wash,,+1-760-864-7150,,,Palm Springs,CA,P3 | Class A | website broken or unreachable | http://airportcarwashps.com/,,Car Washes
Diamond mobile car wash,,+1-760-673-6149,,,Palm Springs,CA,P2 | Class A | no website found on Google,,Car Washes
Dos Hermanos Car Wash & Detailing,,+1-442-275-6061,,,Palm Springs,CA,P2 | Class A | no website found on Google,,Car Washes
