Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Car Wash Full Service,,+1-415-678-0760,,,Alameda,CA,P2 | Class A | no website found on Google,,Car Washes
Community Car Wash,,+1-510-729-5027,,,Alameda,CA,P2 | Class A | no website found on Google,,Car Washes
KSC Car Wash,,+1-510-250-9225,,,Alameda,CA,P2 | Class A | no website found on Google,,Car Washes
Spraymaster Self Services Car Wash,,+1-510-530-2440,,,Alameda,CA,P2 | Class A | no website found on Google,,Car Washes
BH Mobile Detail,,+1-415-306-1792,,,Berkeley,CA,P2 | Class A | no website found on Google,,Car Washes
A&A Gas & Food Mart & Car Wash,,+1-925-829-7218,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Washes
Corwood Car Wash,,+1-925-828-5151,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Washes
Dublin Self Service Car Wash,,+1-510-888-2024,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Washes
Carwash,,+1-510-319-3433,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Civic Center Car Wash,,+1-510-257-6224,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Irwins Car Wash,,+1-510-516-5393,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
JM DETAIL CENTER,,+1-510-938-7704,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Pacific Car Wash Corporation,,+1-510-651-8515,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Radiance Full Service Car Wash,,+1-510-438-9513,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Self-Serve Power Wash,,+1-510-608-4733,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Auto detail miracle,,+1-510-365-1713,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
Larios Mobil Detailing,,+1-510-395-4808,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
Mission Hand Car Wash,,+1-510-274-5456,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
One Stop Shop Mobile Detailing & More,,+1-510-365-6872,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
Sofía carwash,,+1-510-485-4671,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
Surfin' Autospa,,+1-510-353-3844,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
Wash Time Car Wash II,,+1-510-381-8112,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Washes
Cactus Car Wash,,+1-510-421-8998,,,Livermore,CA,P2 | Class A | no website found on Google,,Car Washes
Sunshine cleaning and auto detailing services,,+1-925-549-8021,,,Livermore,CA,P2 | Class A | no website found on Google,,Car Washes
Autowash & Detailings,,+1-510-499-3261,,,Oakland,CA,P2 | Class A | no website found on Google,,Car Washes
Golflink Carwash,,+1-510-633-9800,,,Oakland,CA,P2 | Class A | no website found on Google,,Car Washes
Prime Detail Group,,+1-424-245-8823,,,Oakland,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/primedetailgroup_?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Washes
Z's Mobile Car Wash,,+1-510-916-0620,,,Oakland,CA,P2 | Class A | no website found on Google,,Car Washes
Bayfair Self Service Carwash,,+1-510-707-9226,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Washes
Chabot Car Wash,,+1-510-754-4948,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Washes
Exclusive shine car detailing mobile,,+1-949-821-9050,,,San Leandro,CA,P1 | Class A | only a Facebook/booking/directory page | http://exclusiveshinecardetailing.booksy.com/a/,,Car Washes
Foothill 100% Hand Car Wash,,+1-510-276-7981,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Washes
Washington Avenue Car Wash,,+1-510-483-7247,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Washes
Simply Detailing,,+1-510-825-8425,,,Union City,CA,P2 | Class A | no website found on Google,,Car Washes
Tino’s Mobile Detailing LLC,,+1-510-550-5910,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
