Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Turrini Automotive Detailing,,+1-925-922-1333,,,Berkeley,CA,P2 | Class A | no website found on Google,,Car Washes
Sponges Car Wash & Detail Center,,+1-925-901-1400,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Washes
Vantablack Detailing,,+1-925-791-0069,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Washes
Prestige mobile detailing 925,,+1-925-273-4082,,,Livermore,CA,P2 | Class A | no website found on Google,,Car Washes
10th Street Self Service Car Wash,,+1-925-349-9657,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
APLL Auto Detailed Car Wash,,+1-925-565-2348,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Andre’s Car Wash & Detail,,+1-925-238-8402,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Antioch Auto Detailing,,+1-925-412-1655,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Drip n wash auto detail,,+1-650-445-9976,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Issac Mobile Detail,,+1-925-477-1043,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Jack's Car Wash,,+1-925-993-7009,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/Jacks-Car-Wash-174712486803715/,,Car Washes
Kula and fahnbulleh mobile Detail service,,+1-925-214-9942,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
L U C E N T D E T A I L I N G,,+1-925-508-4445,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Luxury Car Wash,,+1-925-695-5645,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
MRE Mobile Fleet Wash,,+1-925-597-2996,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Monarch Auto Spa,,+1-925-336-5165,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Washes
Pona Luxury Detailed,,+1-210-749-3667,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/Pona.llc,,Car Washes
CarlosMobileDetailing,,+1-925-877-1038,,,Concord,CA,P2 | Class A | no website found on Google,,Car Washes
Clayton Hand Car Wash,,+1-925-676-4818,,,Concord,CA,P2 | Class A | no website found on Google,,Car Washes
Kwik-N-Easy Car Wash,,+1-925-687-4046,,,Concord,CA,P2 | Class A | no website found on Google,,Car Washes
Pro Hand Car Wash,,+1-925-435-8919,,,Concord,CA,P2 | Class A | no website found on Google,,Car Washes
So Kwik Car Wash,,+1-925-676-4153,,,Concord,CA,P2 | Class A | no website found on Google,,Car Washes
Bay Suds Auto Detailing,,+1-510-426-8932,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Washes
Elite Auto Car Wash,,+1-510-944-2182,,,Richmond,CA,P3 | Class A | website broken or unreachable | https://autowash.crd.co/?fbclid=PAQ0xDSwKGVyBleHRuA2FlbQIxMQABp-Pm56XhoiSWZDYJciydv38WQILwJLLDAXarhJz8ovBWh-qxSCWA4CUqCr9f_aem_eKM55yTqlcCj1CuPfu3_JA,,Car Washes
H2go mobile car wash and detail,,+1-650-260-3679,,,Richmond,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/h2gocarwash_detail?igsh=eHQyY2YxNW9pNjR5&utm_source=qr,,Car Washes
JRS DETAILING,,+1-510-804-5425,,,Richmond,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/jrs_detailing_01,,Car Washes
Next_Level_Auto_Detail,,+1-510-978-1852,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Washes
Richmond Hand Car Wash,,+1-510-232-3113,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Washes
Zeus Car Wash & Detail,,+1-510-374-9391,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Washes
Mom & Me Mobile Car Wash,,+1-650-417-3497,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Washes
Car Wash,,+1-925-932-0725,,,Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Washes
Headlights Restoration and Car Wash Mobile. 🚗✨,,+1-925-323-6224,,,Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Washes
Li'l Bear Car Wash,,+1-925-933-9290,,,Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Washes
