Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
marlows mobile detailing,,+1-951-723-7091,,,Menifee,CA,P3 | Class A | website broken or unreachable | https://marlowsdetailing.com/,,Car Washes
5 Min. Express Wash,,+1-760-918-0100,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Washes
Casey’s 24 Hour DIY Car Wash,,+1-760-594-4113,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Washes
Eco Friendly Auto Spa,,+1-760-871-2411,,,Carlsbad,CA,P3 | Class A | website broken or unreachable | http://ecofriendlyautospa.com/,,Car Washes
Glitter Wash,,+1-760-724-0511,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Washes
Oceanside Self-Services Car Wash,,+1-760-722-7952,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Washes
Blue Mobile Detailing,,+1-619-513-0125,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
Calderon Mobile Auto Detail,,+1-619-246-1014,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
EXOTIK MOBILE DETAILING,,+1-619-918-8303,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
EZ MOBILE DETAILING,,+1-619-622-4011,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
"Happy Cow Car Wash, Paradise Hills",,+1-619-922-5966,,,Chula Vista,CA,P3 | Class A | website broken or unreachable | http://happycowcarwash.com/,,Car Washes
MD Meza Auto Detail,,+1-619-520-8772,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
Splash Auto Detail,,+1-619-993-0554,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
Valencia's Mobile Detail,,+1-619-386-2815,,,Chula Vista,CA,P2 | Class A | no website found on Google,,Car Washes
Atlantis mobile detailing,,+1-619-845-7257,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
Auto Spa Car Wash,,+1-619-741-6001,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
B & H Self-Services Car Wash,,+1-207-576-8751,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
Romeo's Car Wash,,+1-760-352-8278,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
Romeo’s Car Wash,,+1-619-588-9589,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
SDMobileDetailPro,,+1-619-493-7214,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
Spot Free Rinse Car Wash,,+1-619-447-7990,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
Valdos mobile detailing,,+1-619-218-1780,,,El Cajon,CA,P2 | Class A | no website found on Google,,Car Washes
Army Mechanics Detail Force,,+1-760-546-2160,,,Escondido,CA,P3 | Class A | website broken or unreachable | https://form.jotform.com/252293425603151,,Car Washes
El Norte Car wash,,+1-760-489-2665,,,Escondido,CA,P2 | Class A | no website found on Google,,Car Washes
Escondido Car Wash,,+1-760-484-2876,,,Escondido,CA,P2 | Class A | no website found on Google,,Car Washes
JC Carwash Auto Detailing,,+1-760-847-8296,,,Escondido,CA,P2 | Class A | no website found on Google,,Car Washes
Sosa's auto detailing,,+1-760-265-9907,,,Escondido,CA,P2 | Class A | no website found on Google,,Car Washes
The Green Roof Car Wash,,+1-760-224-9491,,,Escondido,CA,P2 | Class A | no website found on Google,,Car Washes
Fountain Car Wash,,+1-760-215-3754,,,Oceanside,CA,P2 | Class A | no website found on Google,,Car Washes
Romeo's Car Wash,,+1-760-724-9111,,,Oceanside,CA,P2 | Class A | no website found on Google,,Car Washes
Greco's Friendly Car Wash,,+1-760-591-3887,,,San Marcos,CA,P2 | Class A | no website found on Google,,Car Washes
Finest Detailing,,+1-760-936-5331,,,Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/finestdetailing_official?igsh=OGQ5ZDc2ODk2ZA==&utm_source=qr,,Car Washes
Xecutive Details,,+1-858-988-9739,,,Vista,CA,P2 | Class A | no website found on Google,,Car Washes
