Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
AP’s Mobile Detailing,,+1-408-373-6093,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Washes
Cali_detailz,,+1-408-466-6738,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Washes
Jcautodetailing Mobile LLC,,+1-408-706-0439,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Washes
Calaveras Express Car Wash,,+1-408-428-9363,,,Milpitas,CA,P2 | Class A | no website found on Google,,Car Washes
Loop Car Wash And Gas Station,,+1-408-259-7816,,,Milpitas,CA,P2 | Class A | no website found on Google,,Car Washes
Milpitas Car Wash,,+1-408-513-6199,,,Milpitas,CA,P2 | Class A | no website found on Google,,Car Washes
Valero,,+1-408-955-0238,,,Milpitas,CA,P3 | Class A | website broken or unreachable | http://www.montaguevalero.com/,,Car Washes
DT Mobile Detailing,,+1-530-979-6513,,,Mountain View,CA,P2 | Class A | no website found on Google,,Car Washes
Lozano Car Wash,,+1-408-245-7737,,,Mountain View,CA,P2 | Class A | no website found on Google,,Car Washes
SV Express Automatic Car Wash,,+1-650-427-0099,,,Mountain View,CA,P2 | Class A | no website found on Google,,Car Washes
Sunnyvale Auto Spa,,+1-408-720-0224,,,Mountain View,CA,P2 | Class A | no website found on Google,,Car Washes
100% Hand Car Wash,,+1-408-733-9111,,,Palo Alto,CA,P2 | Class A | no website found on Google,,Car Washes
Roger's cardetailing,,+1-415-889-7428,,,Palo Alto,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61585200853018&mibextid=ZbWKwL,,Car Washes
Blossom Hill Car Wash,,+1-408-448-6489,,,San Jose,CA,P3 | Class A | website broken or unreachable | https://www.blossomhillcarwash.com/,,Car Washes
Car Wash,,+1-408-755-0145,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
E-Z Clean Carwash,,+1-408-226-2052,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
Eco Express Shine Auto Detail,,+1-408-705-5836,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
Four Leaf Auto Detailing,,+1-408-391-7563,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
MS Auto Detailing,,+1-408-600-7474,,,San Jose,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.tiktok.com/@m.s._autodetailing1013?_r=1&_t=ZP-989l982CNod,,Car Washes
San Jose Touchless Carwash,,+1-408-294-1602,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
"Stockton Car Wash, Detail and Auto Steam Cleaning",,+1-408-386-5176,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
Super Detail Pro,,+1-916-538-3282,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Washes
DIMZY MOBILE DETAIL,,+1-669-499-0051,,,Santa Clara,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/dimzymobiledetail?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Washes
Stevens Creek Xpress Car Wash,,+1-408-610-1004,,,Santa Clara,CA,P3 | Class A | website broken or unreachable | http://www.scxcr.com/,,Car Washes
Sunnyvale Car Wash,,+1-408-888-8359,,,Sunnyvale,CA,P2 | Class A | no website found on Google,,Car Washes
Vicencio Mobile Detailing,,+1-408-816-5107,,,Sunnyvale,CA,P2 | Class A | no website found on Google,,Car Washes
