Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
3D Mobile Car Wash Bakersfield CA,,+1-661-596-5078,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
America’s Truck Wash,,+1-661-321-0625,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Arevalos Hand Car Wash,,+1-661-340-4683,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Auto-Detail Mobile Carwash,,+1-661-379-9230,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Automotive Detailing & Mobile Car Wash,,+1-661-432-5741,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
BAKERSFIELD AUTO SPA,,+1-661-364-5341,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Bakersfield Mobile Car Wash,,+1-661-858-3193,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Country Club Hand Car Wash,,+1-661-873-9914,,,Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/pages/Country-Club-Hand-Car-Wash/169133736436608,,Car Washes
Crossroad Hand Car Wash,,+1-661-412-7989,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Gold Line Auto Detail,,+1-661-240-9395,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Hernandez mobile carwash and detailing,,+1-661-672-0545,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
JD'S AUTO DETAIL INC,,+1-661-840-1193,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Lion Hand Car Wash,,+1-661-587-9866,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
MYM AUTO MOBILE DETAILING AND CAR WASH,,+1-805-421-9895,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Magana Mobile Wash & Detail,,+1-661-889-6917,,,Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.tiktok.com/@magana_carwash_mobile?_t=8ecZbchrVNK&_r=1,,Car Washes
Moby's Auto Wash,,+1-661-735-5753,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
SPLASH & SHINE EXPRESS CARWASH,,+1-661-381-7368,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Sideline Carwash & Detailing,,+1-661-412-7779,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Sprayco Mobile Car wash & detail,,+1-661-376-9435,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Swish & Wish Car Wash,,+1-415-718-6432,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Washes
Chuy's Car Wash and detailing services,,+1-661-653-2473,,,Delano,CA,P2 | Class A | no website found on Google,,Car Washes
JM Carwash Detailing,,+1-661-709-2833,,,Delano,CA,P2 | Class A | no website found on Google,,Car Washes
Magic Touch Car Wash,,+1-661-721-9380,,,Delano,CA,P2 | Class A | no website found on Google,,Car Washes
MyKeeys Automotive Full Detail.,,+1-661-342-6826,,,Delano,CA,P2 | Class A | no website found on Google,,Car Washes
