Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Valley Car Wash,,+1-916-371-1521,,,Carmichael,CA,P2 | Class A | no website found on Google,,Car Washes
Daily shine mobile detailing,,+1-530-388-6581,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Washes
Jet Shine Mobile Detail,,+1-916-251-6952,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Washes
N&SDetailing,,+1-916-517-0629,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Washes
Premier Mobile Details | Sacramento,,+1-916-777-2218,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Washes
Prowash Carwash,,+1-916-962-3168,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Washes
UltraShine Carwash,,+1-916-547-0979,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Washes
MG Detailing,,+1-916-207-6620,,,Elk Grove,CA,P1 | Class A | only a Facebook/booking/directory page | https://mg-details.square.site/,,Car Washes
Parkway Car Wash,,+1-916-685-4044,,,Elk Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Royalty Rinse Mobile Detailing,,+1-702-906-3436,,,Elk Grove,CA,P2 | Class A | no website found on Google,,Car Washes
Red's Car Wash,,+1-415-509-5646,,,Folsom,CA,P2 | Class A | no website found on Google,,Car Washes
7 star detailing,,+1-209-570-9648,,,Galt,CA,P2 | Class A | no website found on Google,,Car Washes
Anykine Car Wash,,+1-209-269-0299,,,Galt,CA,P2 | Class A | no website found on Google,,Car Washes
F&F Mobile Detailing,,+1-209-227-3460,,,Galt,CA,P2 | Class A | no website found on Google,,Car Washes
Triple Crown Car Wash,,+1-209-744-0461,,,Galt,CA,P3 | Class A | website broken or unreachable | http://triplecrowncarwash.net/,,Car Washes
Eli’s mobile detailing,,+1-916-704-0792,,,Rancho Cordova,CA,P2 | Class A | no website found on Google,,Car Washes
Necromancy Mobile Detailing Sacramento,,+1-916-500-3345,,,Rancho Cordova,CA,P2 | Class A | no website found on Google,,Car Washes
China Express Detailing,,+1-916-661-7958,,,Sacramento,CA,P2 | Class A | no website found on Google,,Car Washes
Magic mobile auto detailing,,+1-831-905-1517,,,Sacramento,CA,P3 | Class A | website broken or unreachable | https://www.magicmobileautodetailing.com/,,Car Washes
Natomas Express Car Wash and Detail,,+1-916-419-8846,,,Sacramento,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/natomas.carwash/,,Car Washes
Touch N Go Car Wash,,+1-916-422-2315,,,Sacramento,CA,P2 | Class A | no website found on Google,,Car Washes
Wash Man Car Wash & Detail,,+1-203-212-9274,,,Sacramento,CA,P2 | Class A | no website found on Google,,Car Washes
PR CAR detailing,,+1-916-890-4179,,,West Sacramento,CA,P2 | Class A | no website found on Google,,Car Washes
