Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Bright now detailing,,+1-559-900-8428,,,Clovis,CA,P2 | Class A | no website found on Google,,Car Washes
Bubble Clean 11,,+1-559-324-9194,,,Clovis,CA,P2 | Class A | no website found on Google,,Car Washes
Car wash king,,+1-559-389-4257,,,Clovis,CA,P2 | Class A | no website found on Google,,Car Washes
Jc Carwash DIY,,+1-559-515-1094,,,Clovis,CA,P2 | Class A | no website found on Google,,Car Washes
Kalisskillsportablecarrwash,,+1-559-770-2228,,,Clovis,CA,P2 | Class A | no website found on Google,,Car Washes
Autoshine Express Car Wash,,+1-559-612-8469,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
B&P Mobile Wash & Detailing,,+1-559-477-3636,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Diamond Mobile Wash & Detail,,+1-870-875-0002,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Fresno Elite Hand Car Wash,,+1-559-438-8201,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
GoldenBoyz detail,,+1-559-795-7492,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Hand car wash,,+1-559-286-2304,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Miguel's Luxury Car Detailing & Hand Car Wash,,+1-559-286-7183,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Nova Mobile Detailing LLC,,+1-559-856-2926,,,Fresno,CA,P1 | Class A | only a Facebook/booking/directory page | https://nova-mobile-detailing.square.site/,,Car Washes
Palm Olive Car Wash,,+1-559-264-7271,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Personal Touch Hand Car Wash,,+1-559-264-0282,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Raceway Express Car Wash,,+1-623-343-7100,,,Fresno,CA,P3 | Class A | website broken or unreachable | https://racewaycarwash.com/locations/n-milburn-ave-fresno/?y_source=1_MTA1MDk3NTI4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,Car Washes
Salas International Car Wash,,+1-559-273-0348,,,Fresno,CA,P2 | Class A | no website found on Google,,Car Washes
Elite Shine Detailing,,+1-626-344-6427,,,El Monte,CA,P2 | Class A | no website found on Google,,Car Washes
West Coast luxury Mobile Detail services,,+1-626-290-3648,,,Pomona,CA,P2 | Class A | no website found on Google,,Car Washes
A+ Carwash,,+1-669-255-7401,,,Milpitas,CA,P2 | Class A | no website found on Google,,Car Washes
PS Car Detailing - Santa Clara CA,,+1-408-688-8874,,,Santa Clara,CA,P2 | Class A | no website found on Google,,Car Washes
Edddie Mobile detail,,+1-209-480-7978,,,Modesto,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/edddie_mobile_detail_209?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Washes
