Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Clean & Green Car Wash,,+1-805-736-9500,,,Lompoc,CA,P2 | Class A | no website found on Google,,Car Washes
Lorenzana Mobile Car Wash,,+1-805-315-7201,,,Lompoc,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/lorenzana_mobile_detailing?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,,Car Washes
Sanchez Signature Auto Detailing,,+1-805-742-6609,,,Lompoc,CA,P2 | Class A | no website found on Google,,Car Washes
Speedway Car Wash,,+1-805-736-2995,,,Lompoc,CA,P2 | Class A | no website found on Google,,Car Washes
Ultimate Car Care,,+1-805-741-6635,,,Lompoc,CA,P2 | Class A | no website found on Google,,Car Washes
Cortes Hand Car Wash,,+1-805-886-9215,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Fairview Car Wash,,+1-805-967-6530,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Goleta Hand Car Wash and Detail Center,,+1-858-450-1500,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Janiel Mobile Auto Detail,,+1-805-815-1329,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Luxus Car Wash,,+1-805-450-9607,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Riviera Precision - Mobile Auto Detailing and Concierge,,+1-619-990-4647,,,Santa Barbara,CA,P3 | Class A | website broken or unreachable | https://www.rivieraprecision.com/,,Car Washes
SB Mobile wash,,+1-805-324-1629,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Solis Auto Spa,,+1-805-618-4027,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Washes
Alonso’s Detailing services,,+1-805-324-0684,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Washes
Hunter's Auto Detailing LLC,,+1-757-608-8213,,,Santa Maria,CA,P3 | Class A | website broken or unreachable | https://huntersautodetailing.squarespace.com/,,Car Washes
J&S detailing,,+1-805-406-6776,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Washes
Jr’s Auto Detail's,,+1-805-356-5689,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Washes
OnlyCarsMobileDetailing,,+1-805-878-2679,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Washes
Santa Maria Car Wash,,+1-805-925-3834,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Washes
Santa Maria Wash & Lube,,+1-805-925-2439,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Washes
Exotics mobile detailing,,+1-805-722-8346,,,Ventura,CA,P2 | Class A | no website found on Google,,Car Washes
