Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Wax On - Mobile Detailing,,+1-626-205-4548,,,West Covina,CA,P2 | Class A | no website found on Google,,Car Washes
All American Car Wash,,+1-805-487-5411,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
C100 mobile services,,+1-805-401-3664,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
Don Gato Detailing,,+1-805-512-0771,,,Oxnard,CA,P1 | Class A | only a Facebook/booking/directory page | https://facebook.com/Jorge%20Caballero,,Car Washes
Donys Mobile Car Wash,,+1-805-212-6857,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
LOPEZ CAR WASH,,+1-805-401-9687,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
Matts Mobile Carwash and Detailing,,+1-805-914-3178,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
Maxpro detailing,,+1-805-790-2817,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
Oxnard Mobile Detailing,,+1-805-891-3462,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
R2 Mobile Car Wash,,+1-805-790-4490,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
Teodoro car wash & detailing,,+1-805-760-6500,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
The uncle móvil car wash,,+1-805-663-2401,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Washes
C Me Self Services Car Wash,,+1-805-813-1115,,,Simi Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Javier Car Wash,,+1-805-368-3560,,,Simi Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Platinum Car Wash,,+1-805-824-0000,,,Simi Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Real car wash and detail,,+1-805-906-1741,,,Simi Valley,CA,P2 | Class A | no website found on Google,,Car Washes
Wave Mobile Wash,,+1-818-564-7823,,,Simi Valley,CA,P3 | Class A | website broken or unreachable | https://www.wavemobilewash.com/,,Car Washes
Revive by L&M,,+1-818-255-6995,,,Thousand Oaks,CA,P2 | Class A | no website found on Google,,Car Washes
MUNOZ MOBILE DETAILING 805,,+1-805-212-8912,,,Ventura,CA,P2 | Class A | no website found on Google,,Car Washes
