Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
easy mobile detail,,+1-215-571-5123,,,Oakland,CA,P3 | Class A | website broken or unreachable | https://easymobiledetail.com/,,Car Washes
Hi Speed Detailing Car Wash,,+1-415-579-4491,,,Benicia,CA,P2 | Class A | no website found on Google,,Car Washes
Not Your Normal Car Wash,,+1-707-908-9626,,,Benicia,CA,P3 | Class A | website broken or unreachable | http://www.notyournormalcarwash.com/,,Car Washes
Splash Zone,,+1-707-678-8576,,,Dixon,CA,P2 | Class A | no website found on Google,,Car Washes
Aguilar Mobile Detailing,,+1-213-326-7840,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Washes
Amplified Detailing,,+1-707-656-5990,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Washes
Carl and Carl Customized Detail,,+1-707-228-3802,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Washes
LUX Mobile Car Wash,,+1-707-703-0176,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Washes
Magic Wand Car Wash,,+1-707-429-4446,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Washes
RG Car Detailing,,+1-415-757-8019,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Washes
Vacaville Luxe Detailing,,+1-707-628-4382,,,Vacaville,CA,P2 | Class A | no website found on Google,,Car Washes
jaquez mobile detailing services,,+1-707-200-5015,,,Vacaville,CA,P2 | Class A | no website found on Google,,Car Washes
Horizon Car Wash,,+1-415-233-0874,,,Vallejo,CA,P2 | Class A | no website found on Google,,Car Washes
LJ’s mobile detailing service,,+1-707-209-6766,,,Vallejo,CA,P2 | Class A | no website found on Google,,Car Washes
M&S Mobile Car Wash & Detailing,,+1-707-534-8151,,,Vallejo,CA,P2 | Class A | no website found on Google,,Car Washes
Super Sudz Car Care LLC,,+1-229-526-8508,,,Vallejo,CA,P2 | Class A | no website found on Google,,Car Washes
