Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
1st American Car Wash,,+1-559-781-6950,,,Porterville,CA,P2 | Class A | no website found on Google,,Car Washes
Chel’s Hydro Touch Car Wash,,+1-559-789-9504,,,Porterville,CA,P2 | Class A | no website found on Google,,Car Washes
Full Service Car Wash,,+1-559-792-6957,,,Porterville,CA,P2 | Class A | no website found on Google,,Car Washes
Mario Hand Car Wash,,+1-619-793-8719,,,Porterville,CA,P2 | Class A | no website found on Google,,Car Washes
Personal Touch Hand Car Wash,,+1-559-202-6991,,,Porterville,CA,P2 | Class A | no website found on Google,,Car Washes
Stars & Stripes Car Wash,,+1-559-838-0123,,,Porterville,CA,P2 | Class A | no website found on Google,,Car Washes
US TRUCK WASH & Repair,,+1-929-386-9071,,,Tulare,CA,P2 | Class A | no website found on Google,,Car Washes
Kyng Detail & Shine,,+1-559-502-5831,,,Visalia,CA,P3 | Class A | website broken or unreachable | https://carwashdetail.org/,,Car Washes
Lucky mobile carwash,,+1-559-205-4613,,,Visalia,CA,P3 | Class A | website broken or unreachable | https://luckymobilecarwash.com/,,Car Washes
Nicole’s Mobile Detailing,,+1-559-730-1790,,,Visalia,CA,P2 | Class A | no website found on Google,,Car Washes
Super Car Wash,,+1-559-741-3540,,,Visalia,CA,P2 | Class A | no website found on Google,,Car Washes
VALLEY TRUCK WASH&RV INC,,+1-559-991-6523,,,Visalia,CA,P2 | Class A | no website found on Google,,Car Washes
