Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Classic Car Wash,,+1-503-659-3021,,,Happy Valley,OR,P2 | Class A | no website found on Google,,Car Washes
Pinky's Car Wash,,+1-503-653-1669,,,Happy Valley,OR,P2 | Class A | no website found on Google,,Car Washes
Red Barn Car Wash,,+1-503-212-2019,,,Happy Valley,OR,P2 | Class A | no website found on Google,,Car Washes
Touchless Car Wash,,+1-503-409-3525,,,Happy Valley,OR,P2 | Class A | no website found on Google,,Car Washes
HB platinum detailing,,+1-503-351-0840,,,Lake Oswego,OR,P2 | Class A | no website found on Google,,Car Washes
Scrubby's Car Wash,,+1-503-652-2699,,,Lake Oswego,OR,P3 | Class A | website broken or unreachable | http://scrubbyscarwash.com/,,Car Washes
Oregon City Car Wash,,+1-503-650-6526,,,Oregon City,OR,P2 | Class A | no website found on Google,,Car Washes
Pioneer Car Wash,,+1-503-656-2010,,,Oregon City,OR,P2 | Class A | no website found on Google,,Car Washes
Red Barn Car Wash,,+1-503-210-4452,,,Oregon City,OR,P2 | Class A | no website found on Google,,Car Washes
Willamette Car Wash,,+1-503-557-1337,,,Oregon City,OR,P2 | Class A | no website found on Google,,Car Washes
Small Change Car Wash,,+1-503-348-9958,,,Sandy,OR,P2 | Class A | no website found on Google,,Car Washes
Washman Car Wash | Sandy,,+1-503-826-1540,,,Sandy,OR,P3 | Class A | website broken or unreachable | http://www.washmanusa.com/sandy.html,,Car Washes
