Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Country Village Hand Car Wash,,+1-626-307-9275,,,Alhambra,CA,P4 | Class B | website has objective flaws | https://www.countryvillagecarwash.com/,,Car Washes
Highland Park Express Car Wash,,+1-323-225-5334,,,Alhambra,CA,P4 | Class B | website has objective flaws | http://www.highlandparkexpresscarwash.com/,,Car Washes
Mission Car Wash,,+1-626-287-1671,,,Alhambra,CA,P4 | Class B | website has objective flaws | http://www.missioncarwash.org/,,Car Washes
Azusa Hand Car Wash,,+1-626-969-6762,,,Baldwin Park,CA,P4 | Class B | website has objective flaws | https://www.azusacarwash.com/,,Car Washes
Baldwin Park Express Car Wash,,+1-626-689-7782,,,Baldwin Park,CA,P4 | Class B | website has objective flaws | http://www.baldwinparkexpresscarwash.com/,,Car Washes
Nu-Way Hand Car Wash,,+1-626-303-2212,,,Baldwin Park,CA,P4 | Class B | website has objective flaws | http://www.nuwayhandcarwash.com/,,Car Washes
Andy's Xpress Wash,,+1-562-420-6711,,,Bellflower,CA,P4 | Class B | website has objective flaws | https://www.andysxpresswash.com/,,Car Washes
Carwood Express Car Wash,,+1-562-923-1213,,,Bellflower,CA,P4 | Class B | website has objective flaws | http://www.carwoodcarwash.com/downey,,Car Washes
Tsunami Express Car Wash,,+1-562-991-5324,,,Bellflower,CA,P4 | Class B | website has objective flaws | http://tsunamiexpresscarwash.com/,,Car Washes
Burbank Express Car Wash,,+1-818-478-1400,,,Burbank,CA,P4 | Class B | website has objective flaws | https://burbankexpresscarwash.secureserversites.net/,,Car Washes
Citi Car Wash,,+1-818-241-8200,,,Burbank,CA,P4 | Class B | website has objective flaws | https://citiautocare.com/,,Car Washes
Magnolia Island Hand Car Wash,,+1-818-845-4821,,,Burbank,CA,P4 | Class B | website has objective flaws | https://magnoliacarwash.com/,,Car Washes
Bellagio Express Car Wash,,+1-424-570-0424,,,Carson,CA,P4 | Class B | website has objective flaws | https://bellagioexpresscarwash.com/,,Car Washes
Bubble Express Car Wash,,+1-562-272-2720,,,Carson,CA,P4 | Class B | website has objective flaws | http://www.bubbleexpresswash.com/,,Car Washes
Harbor City Car Wash,,+1-424-328-0412,,,Carson,CA,P4 | Class B | website has objective flaws | http://harborcitywash.com/,,Car Washes
5 N' GO Express Car Wash,,+1-562-944-0458,,,Downey,CA,P4 | Class B | website has objective flaws | http://5ngoexpresswash.com/,,Car Washes
Atlantic Express Car Wash,,+1-323-537-2376,,,Downey,CA,P4 | Class B | website has objective flaws | http://atlanticexpresscarwashes.com/,,Car Washes
Car Wash in Downey,,+1-562-862-1255,,,Downey,CA,P4 | Class B | website has objective flaws | http://carwashindowney.com/,,Car Washes
Norwalk Goal Car Wash,,+1-562-466-0033,,,Downey,CA,P4 | Class B | website has objective flaws | https://www.goalcarwash.com/,,Car Washes
Platinum Mobile Car Wash & Detail,,+1-213-705-5388,,,Downey,CA,P4 | Class B | website has objective flaws | https://lnk.bio/pmdetailing25,,Car Washes
Ramos Mobile Carwash Auto Detailing,,+1-209-626-0005,,,Downey,CA,P4 | Class B | website has objective flaws | https://ramosmobilecarwash.com/,,Car Washes
Spotless full service and express car wash,,+1-310-637-7203,,,Downey,CA,P4 | Class B | website has objective flaws | http://www.spotlessexpresswash.com/,,Car Washes
Asere Premium Auto Detailing,,+1-786-205-9680,,,El Monte,CA,P4 | Class B | website has objective flaws | https://app.peak-shop.com/customer.html?shop=shop_1772837136374,,Car Washes
Bellagio Express Car Wash,,+1-626-821-6399,,,El Monte,CA,P4 | Class B | website has objective flaws | https://bellagioexpresscarwash.com/,,Car Washes
CarCarez,,+1-626-203-1327,,,El Monte,CA,P4 | Class B | website has objective flaws | https://carcarez.com/pages/contact-us,,Car Washes
Fasching's,,+1-626-446-0654,,,El Monte,CA,P4 | Class B | website has objective flaws | http://www.faschings.com/,,Car Washes
SoCal Car Wash & Detail,,+1-202-977-8100,,,Glendale,CA,P4 | Class B | website has objective flaws | http://socalhandwash.com/,,Car Washes
E.J M.O.B.I.L.E D.E.T.A.I.L.I.N.G 24 H.R…,,+1-323-253-1272,,,Inglewood,CA,P4 | Class B | website has objective flaws | https://www.google.com/gasearch?q=car%20wash&source=sh/x/gs/m2/5#vhid=/g/11wbzj_gc3&vssid=dcptpi,,Car Washes
Melvin's Mobile Auto Detailing y wash,,+1-323-535-5770,,,Inglewood,CA,P4 | Class B | website has objective flaws | http://melautocarcare.weebly.com/,,Car Washes
QuikWash Car Wash - Hawthorne,,+1-818-600-6527,,,Inglewood,CA,P4 | Class B | website has objective flaws | http://www.quikwash.co/,,Car Washes
