Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Anaheim Hills Car Wash,,+1-714-777-6605,,,Anaheim,CA,P4 | Class B | website has objective flaws | http://www.anaheimhillscarwashandlube.com/,,Car Washes
Going Beyond the Car Wash,,+1-714-948-4287,,,Anaheim,CA,P4 | Class B | website has objective flaws | http://www.notacarwash.com/contact-form/index.php,,Car Washes
"Grand Prix Car Wash and Auto Care, Inc.",,+1-714-855-7483,,,Anaheim,CA,P4 | Class B | website has objective flaws | http://www.grandprixcarwashandautocare.com/,,Car Washes
Rapids Express Car Wash,,+1-714-592-4560,,,Anaheim,CA,P4 | Class B | website has objective flaws | http://www.rapidsexpress.com/,,Car Washes
Riverbend Hand Car Wash,,+1-714-692-8114,,,Anaheim,CA,P4 | Class B | website has objective flaws | http://www.riverbendcarwash.com/,,Car Washes
Rob's Mobile Detail,,+1-714-476-1370,,,Anaheim,CA,P4 | Class B | website has objective flaws | https://robsmobiledetail.com/,,Car Washes
Cypress Car Wash,,+1-562-512-5270,,,Buena Park,CA,P4 | Class B | website has objective flaws | https://cypresscarwash.org/,,Car Washes
Wild Water Express,,+1-714-670-6303,,,Buena Park,CA,P4 | Class B | website has objective flaws | https://wildwaterexpress.com/locations/buena-park/?y_source=1_MjA2MTU5ODM1Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,Car Washes
Coastal Xpress Car Wash,,+1-714-436-0226,,,Costa Mesa,CA,P4 | Class B | website has objective flaws | https://www.carwashcostamesa.com/,,Car Washes
Costa Mesa Hand Wash and Detail,,+1-714-316-9874,,,Costa Mesa,CA,P4 | Class B | website has objective flaws | https://costamesacarwash.com/,,Car Washes
Five Star Express Car Wash,,+1-949-515-5135,,,Costa Mesa,CA,P4 | Class B | website has objective flaws | http://www.fivestarecw.com/contact/,,Car Washes
Mobile car wash oc,,+1-949-593-4478,,,Costa Mesa,CA,P4 | Class B | website has objective flaws | https://whipwash.pro/,,Car Washes
Wild Water Express,,+1-714-327-1700,,,Costa Mesa,CA,P4 | Class B | website has objective flaws | https://wildwaterexpress.com/locations/costa-mesa/?y_source=1_MjA2MTU5ODM1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,Car Washes
Fleet Washing CA,,+1-888-714-9926,,,Fullerton,CA,P4 | Class B | website has objective flaws | https://fleetwashingca.com/,,Car Washes
Sunny Hills Car Wash,,+1-714-525-7676,,,Fullerton,CA,P4 | Class B | website has objective flaws | http://sunnyhillscarwash.com/,,Car Washes
University Car Wash,,+1-714-528-0306,,,Fullerton,CA,P4 | Class B | website has objective flaws | https://www.carwashfullerton.com/,,Car Washes
Fast5Xpress Car Wash Garden Grove #2,,+1-714-740-1005,,,Garden Grove,CA,P4 | Class B | website has objective flaws | https://www.fast5xpress.com/,,Car Washes
H2GO Car Wash,,+1-949-749-4977,,,Huntington Beach,CA,P4 | Class B | website has objective flaws | https://h2gocarwash.com/,,Car Washes
Magnolia Car Wash,,+1-714-965-4939,,,Huntington Beach,CA,P4 | Class B | website has objective flaws | http://magnoliawash.com/,,Car Washes
Russell Fischer Car Wash - Huntington Harbour,,+1-714-846-5544,,,Huntington Beach,CA,P4 | Class B | website has objective flaws | http://www.russellfischer.com/,,Car Washes
Russell Fischer Xpress Car Wash - Huntington Beach,,+1-714-442-6633,,,Huntington Beach,CA,P4 | Class B | website has objective flaws | https://russellfischercarwash.com/,,Car Washes
Wild Water Express,,+1-714-841-1703,,,Huntington Beach,CA,P4 | Class B | website has objective flaws | https://wildwaterexpress.com/locations/huntington-beach/?y_source=1_MjA2MTU5ODM2MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,Car Washes
24hr Self Service Car Wash,,+1-949-653-8100,,,Irvine,CA,P4 | Class B | website has objective flaws | http://www.24hrselfwash.com/,,Car Washes
Checkered Flag Lux Express Car Wash,,+1-949-786-3081,,,Irvine,CA,P4 | Class B | website has objective flaws | https://www.checkeredflagexpresscarwash.com/,,Car Washes
Culver Auto Spa,,+1-949-786-8698,,,Irvine,CA,P4 | Class B | website has objective flaws | http://www.culverautospa.com/,,Car Washes
Genie Car Wash,,+1-714-415-9945,,,Irvine,CA,P4 | Class B | website has objective flaws | https://www.geniecarwash.com/locations/tustin/,,Car Washes
Magic Brush Car Wash,,+1-951-517-2889,,,Irvine,CA,P4 | Class B | website has objective flaws | https://www.magicbrushexpress.com/,,Car Washes
Ultimate Detailing,,+1-949-396-2350,,,Irvine,CA,P4 | Class B | website has objective flaws | https://www.ultimatedetailing.net/,,Car Washes
Checkered Flag Lake Forest,,+1-949-770-9376,,,Lake Forest,CA,P4 | Class B | website has objective flaws | http://www.checkeredflagexpresscarwash.com/,,Car Washes
ALL HANDS CAR WASH,,+1-949-716-3600,,,Mission Viejo,CA,P4 | Class B | website has objective flaws | https://www.allhandscarwash.com/,,Car Washes
Go Green Express Car Wash,,+1-714-805-7967,,,Orange,CA,P4 | Class B | website has objective flaws | http://www.gogreentustin.com/,,Car Washes
Rincon Carwash,,+1-909-248-4480,,,Orange,CA,P4 | Class B | website has objective flaws | https://www.rinconcarwash.com/,,Car Washes
Santa Ana Express Car Wash,,+1-714-486-1198,,,Santa Ana,CA,P4 | Class B | website has objective flaws | http://expcarwash.com/,,Car Washes
Santiago Hand Wash (76),,+1-714-541-3883,,,Santa Ana,CA,P4 | Class B | website has objective flaws | http://santiagofoodmart.com/,,Car Washes
