Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Details First Mobile Detailing,,+1-626-893-2363,,,Pomona,CA,P4 | Class B | website has objective flaws | http://www.detailsfirst.shop/,,Car Washes
All American Express Car Wash,,+1-909-413-4950,,,Chino,CA,P4 | Class B | website has objective flaws | http://www.allamericanexpresscarwash.com/,,Car Washes
All American Express Car Wash Chino Spectrum,,+1-909-364-0174,,,Chino,CA,P4 | Class B | website has objective flaws | https://allamericanexpresscarwash.com/,,Car Washes
Andy's Xpress Wash,,+1-909-972-7643,,,Chino,CA,P4 | Class B | website has objective flaws | https://www.andysxpresswash.com/,,Car Washes
Anthem Express Car Wash,,+1-909-930-5550,,,Chino,CA,P4 | Class B | website has objective flaws | https://www.anthemexpresswash.com/,,Car Washes
"Chino Valley Tank Wash, Inc.",,+1-909-606-7760,,,Chino,CA,P4 | Class B | website has objective flaws | http://www.thetankwash.com/,,Car Washes
IMC Auto Detailing,,+1-562-753-7645,,,Fontana,CA,P4 | Class B | website has objective flaws | https://imcmobileautodetailing.glossgenius.com/,,Car Washes
Jet Speed Car Wash,,+1-909-320-6305,,,Fontana,CA,P4 | Class B | website has objective flaws | http://jetspeedcarwash.com/,,Car Washes
Slover Truck Wash And Detail,,+1-909-491-7575,,,Fontana,CA,P4 | Class B | website has objective flaws | http://lstruckwash.com/,,Car Washes
G Wash,,+1-760-221-9329,,,Hesperia,CA,P4 | Class B | website has objective flaws | https://gwashinc.com/,,Car Washes
Little Sisters Truck Wash Hesperia,,+1-760-947-4448,,,Hesperia,CA,P4 | Class B | website has objective flaws | https://lstruckwash.com/,,Car Washes
Anthem Express Wash,,+1-909-930-9941,,,Ontario,CA,P4 | Class B | website has objective flaws | http://anthemexpresswash.com/,,Car Washes
Mills Circle Car Wash,,+1-909-481-7055,,,Ontario,CA,P4 | Class B | website has objective flaws | http://www.ontariomills76.com/,,Car Washes
PrimeWash Express,,+1-909-443-7096,,,Ontario,CA,P4 | Class B | website has objective flaws | http://primewashexpress.com/,,Car Washes
So Cal Express Car Wash,,+1-909-988-1860,,,Ontario,CA,P4 | Class B | website has objective flaws | http://www.socalexpresscarwash.com/,,Car Washes
Automotive Uniqueness,,+1-909-238-3910,,,Rancho Cucamonga,CA,P4 | Class B | website has objective flaws | https://automotiveuniqueness.com/,,Car Washes
Los Osos Car Wash,,+1-909-944-9995,,,Rancho Cucamonga,CA,P4 | Class B | website has objective flaws | http://www.losososcarwash.com/,,Car Washes
PrimeWash Express,,+1-909-949-9079,,,Rancho Cucamonga,CA,P4 | Class B | website has objective flaws | http://primewashexpress.com/,,Car Washes
Galaxy Express car Wash,,+1-909-351-6020,,,Redlands,CA,P4 | Class B | website has objective flaws | https://ramzexpress.patheon.app/buy/plans?planId=b0ee448e-6cf4-44ac-afbb-4a20c0ca4bde,,Car Washes
Suds Brothers Express Car Wash,,+1-909-312-3191,,,Redlands,CA,P4 | Class B | website has objective flaws | https://sudsbroscarwash.com/,,Car Washes
Sparkling Clean Car Wash & Detail,,+1-909-824-1597,,,Rialto,CA,P4 | Class B | website has objective flaws | https://coltonsparklingcleancarwash.weebly.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=0df3e669-1459-4269-967b-dff6256165f3,,Car Washes
Mr Suds Carwash,,+1-909-425-8853,,,San Bernardino,CA,P4 | Class B | website has objective flaws | http://www.mrsudshighland.com/,,Car Washes
Foam Zone,,+1-760-927-1077,,,Victorville,CA,P4 | Class B | website has objective flaws | http://foamzonewash.com/,,Car Washes
Jet Wave Wash,,+1-760-330-5980,,,Victorville,CA,P4 | Class B | website has objective flaws | https://jetwavecarwash.com/,,Car Washes
Mojave Express Car Wash,,+1-442-533-5232,,,Victorville,CA,P4 | Class B | website has objective flaws | https://www.mojaveexpresscarwash.com/,,Car Washes
