Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Beach Bum Car Wash,,+1-760-632-1129,,,Carlsbad,CA,P4 | Class B | website has objective flaws | https://www.beachbumexpress.com/,,Car Washes
Carlsbad Self-Serve Car Wash,,+1-760-729-9441,,,Carlsbad,CA,P4 | Class B | website has objective flaws | http://www.carlsbadselfservicecarwash.com/,,Car Washes
Coast Car Wash,,+1-760-433-5511,,,Carlsbad,CA,P4 | Class B | website has objective flaws | http://coastcarwashca.com/,,Car Washes
Genie Car Wash,,+1-760-727-2438,,,Carlsbad,CA,P4 | Class B | website has objective flaws | http://geniecarwash.com/,,Car Washes
PK Mobile detailing,,+1-760-688-2286,,,Carlsbad,CA,P4 | Class B | website has objective flaws | https://pkmobiledetailing.godaddysites.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio,,Car Washes
Xtreme Car Wash,,+1-760-727-7580,,,Carlsbad,CA,P4 | Class B | website has objective flaws | http://www.x-tremecarwash.com/,,Car Washes
Aqua Clean Car Wash,,+1-619-397-7330,,,Chula Vista,CA,P4 | Class B | website has objective flaws | http://aquacleancarwash.com/,,Car Washes
Auto Detail Deluxe SD,,+1-619-480-8745,,,Chula Vista,CA,P4 | Class B | website has objective flaws | http://autodetaildeluxesd.com/,,Car Washes
Maqonna Professional Car Detailing,,+1-619-480-6833,,,Chula Vista,CA,P4 | Class B | website has objective flaws | http://maqonna.com/,,Car Washes
"Pearl Car Wash/Chula Vista, Inc.",,+1-858-336-3333,,,Chula Vista,CA,P4 | Class B | website has objective flaws | http://www.pearlcarwash.com/,,Car Washes
SAN DIEGO AUTO CARE (Mobile Detail & Semi Truck Wash),,+1-619-678-5348,,,Chula Vista,CA,P4 | Class B | website has objective flaws | http://www.sdautocare.com/,,Car Washes
Aqua Clean Car Wash,,+1-619-698-6775,,,El Cajon,CA,P4 | Class B | website has objective flaws | http://www.aquacleancarwash.com/,,Car Washes
Genie Car Wash,,+1-619-312-2137,,,El Cajon,CA,P4 | Class B | website has objective flaws | https://www.geniecarwash.com/,,Car Washes
Lavado Xpress Car Wash,,+1-619-588-1600,,,El Cajon,CA,P4 | Class B | website has objective flaws | https://lavadoxpresscarwash.com/,,Car Washes
Escondido Auto Park Express Wash,,+1-760-466-7350,,,Escondido,CA,P4 | Class B | website has objective flaws | https://www.autoparkexpress.com/,,Car Washes
Mr. Foamy's Express Car Wash,,+1-760-839-2389,,,Escondido,CA,P4 | Class B | website has objective flaws | https://misterfoamys.com/,,Car Washes
Mt mobile auto detail,,+1-858-648-8045,,,Escondido,CA,P4 | Class B | website has objective flaws | http://mtmobileautodetailing.com/,,Car Washes
Budget Detailing,,+1-760-717-5963,,,Oceanside,CA,P4 | Class B | website has objective flaws | https://salinass1234.wixsite.com/budgetdetailing,,Car Washes
Green Go Wash,,+1-619-302-3190,,,San Diego,CA,P4 | Class B | website has objective flaws | http://www.greengowash.com/,,Car Washes
Prestige Autowash & Automotive,,+1-858-277-6131,,,San Diego,CA,P4 | Class B | website has objective flaws | http://www.prestigesd.com/,,Car Washes
Self Serve Carwash- Lucky Coin Car Wash,,+1-858-877-3536,,,San Diego,CA,P4 | Class B | website has objective flaws | http://luckycoincarwash.com/,,Car Washes
Washman Car Wash Mission Bay San Diego,,+1-619-458-9040,,,San Diego,CA,P4 | Class B | website has objective flaws | http://washmansd.com/,,Car Washes
Gabriel's Mobile Car Wash and Detail,,+1-760-208-3270,,,Vista,CA,P4 | Class B | website has objective flaws | https://gabrielscarwash.wixsite.com/gabrielscarwash,,Car Washes
Vista Auto Spa - East,,+1-760-659-0778,,,Vista,CA,P4 | Class B | website has objective flaws | http://www.vistaautospa.com/,,Car Washes
