Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
SHINE & GO CAR WASH,,+1-510-424-3808,,,Alameda,CA,P4 | Class B | website has objective flaws | http://oaklandbestcarwash.com/,,Car Washes
Solar Car Wash,,+1-510-614-6664,,,Alameda,CA,P4 | Class B | website has objective flaws | http://www.thesolarcarwash.com/,,Car Washes
Solar Car Wash,,+1-888-614-6664,,,Berkeley,CA,P4 | Class B | website has objective flaws | http://www.thesolarcarwash.com/,,Car Washes
Suds Machine,,+1-510-547-5507,,,Berkeley,CA,P4 | Class B | website has objective flaws | http://www.kenbettscompany.com/,,Car Washes
Autopia Car Wash - Dublin,,+1-925-803-8700,,,Dublin,CA,P4 | Class B | website has objective flaws | http://www.autopiacarwash.com/,,Car Washes
Autopia Car Wash - Livermore,,+1-925-455-6644,,,Dublin,CA,P4 | Class B | website has objective flaws | http://autopiacarwash.com/,,Car Washes
Happy Car Spa Dublin,,+1-925-452-4430,,,Dublin,CA,P4 | Class B | website has objective flaws | https://www.happycarspadublin.com/,,Car Washes
Pleasanton Hand Car Wash,,+1-925-225-1777,,,Dublin,CA,P4 | Class B | website has objective flaws | http://www.pleasantonhandcarwash.com/,,Car Washes
Prestige Gloss Detailing,,+1-628-227-7722,,,Dublin,CA,P4 | Class B | website has objective flaws | http://www.prestigeglossdetail.com/,,Car Washes
Spot On Mobile Wash and Detailing,,+1-925-549-8260,,,Dublin,CA,P4 | Class B | website has objective flaws | http://www.mobilespotoncalifornia.com/,,Car Washes
Apex Auto Detailing,,+1-341-345-5869,,,Fremont,CA,P4 | Class B | website has objective flaws | https://goblin-guard-08717413.figma.site/,,Car Washes
Autopia Car Wash - Fremont,,+1-510-713-2877,,,Fremont,CA,P4 | Class B | website has objective flaws | http://www.autopiacarwash.com/,,Car Washes
Autopia Car Wash - Newark,,+1-510-797-1623,,,Fremont,CA,P4 | Class B | website has objective flaws | http://www.autopiacarwash.com/,,Car Washes
JetX Car Wash - Irvington Fremont,,+1-888-491-6172,,,Fremont,CA,P4 | Class B | website has objective flaws | https://wash.jetxpress.com/,,Car Washes
Super Station Car Wash & Lube,,+1-510-252-1664,,,Fremont,CA,P4 | Class B | website has objective flaws | http://www.super-station.com/,,Car Washes
Neo Express Car Wash,,+1-510-431-3700,,,Hayward,CA,P4 | Class B | website has objective flaws | http://www.neoexpresscarwash.com/,,Car Washes
The Bay Area Auto Mobile Detailing,,+1-346-407-9162,,,Hayward,CA,P4 | Class B | website has objective flaws | https://web.detailconnect.app/u=the-bay-area-car-wash-AD1DIL/add-new-vehicle,,Car Washes
Kaady Chemical Corporation,,+1-800-755-2239,,,San Leandro,CA,P4 | Class B | website has objective flaws | https://www.kaadychemical.com/,,Car Washes
