Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Premier mobile detailing,,+1-951-410-7097,,,Corona,CA,P4 | Class B | website has objective flaws | https://premiermobiledetail.setmore.com/luis,,Car Washes
Quickie’s Quality Car Wash,,+1-951-280-3047,,,Corona,CA,P4 | Class B | website has objective flaws | http://www.quickiescarwash.com/,,Car Washes
River Road X-press Car Wash,,+1-951-817-5320,,,Corona,CA,P4 | Class B | website has objective flaws | http://www.riverroadxpresscarwash.com/,,Car Washes
Andy's Xpress Wash,,+1-951-679-6644,,,Menifee,CA,P4 | Class B | website has objective flaws | https://www.andysxpresswash.com/,,Car Washes
Menifee Car Wash,,+1-951-672-8511,,,Menifee,CA,P4 | Class B | website has objective flaws | http://www.menifeecarwash.com/,,Car Washes
The Detailing Dad,,+1-951-830-9965,,,Menifee,CA,P4 | Class B | website has objective flaws | https://thedetailingdad.info/,,Car Washes
Washvo,,+1-833-519-6921,,,Moreno Valley,CA,P4 | Class B | website has objective flaws | http://washvo.com/,,Car Washes
Fast5Xpress Car Wash Murrieta - Kalmia St,,+1-951-319-6059,,,Murrieta,CA,P4 | Class B | website has objective flaws | http://www.fast5xpress.com/,,Car Washes
Jimmy's Ultra Express Car Wash,,+1-951-894-1551,,,Murrieta,CA,P4 | Class B | website has objective flaws | http://www.jimmysultraexpress.com/,,Car Washes
U.S. Auto Spa,,+1-951-535-4173,,,Murrieta,CA,P4 | Class B | website has objective flaws | https://usautospa.net/,,Car Washes
Circle K | Car Wash,,+1-760-772-6304,,,Palm Desert,CA,P4 | Class B | website has objective flaws | https://www.circlek.com/circle-k-carwash?utm_source=google&utm_medium=local&utm_campaign=google-local,,Car Washes
Rub-A-Dub Detail,,+1-760-229-9431,,,Palm Desert,CA,P4 | Class B | website has objective flaws | https://rubadubmobiledetail.com/,,Car Washes
Little Sisters Truck Wash Thousand Palms,,+1-760-343-3448,,,Palm Springs,CA,P4 | Class B | website has objective flaws | https://lstruckwash.com/,,Car Washes
Canyon Crest Car Wash,,+1-951-222-0225,,,Riverside,CA,P4 | Class B | website has objective flaws | http://www.canyoncrestcarwash.com/,,Car Washes
Gateway Express Car Wash,,+1-951-977-9900,,,Riverside,CA,P4 | Class B | website has objective flaws | https://www.gatewaycw.com/,,Car Washes
Tony's Auto Detailing,,+1-951-227-0590,,,Riverside,CA,P4 | Class B | website has objective flaws | https://detailingriverside.com/,,Car Washes
