Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Dave's Car Wash,,+1-530-350-5722,,,El Dorado Hills,CA,P4 | Class B | website has objective flaws | https://forms.gle/5FDQYPB1ixbpqqFW8,,Car Washes
Fastline Detail,,+1-530-919-4481,,,El Dorado Hills,CA,P4 | Class B | website has objective flaws | https://lanenoah039.wixsite.com/fastline-auto-detail,,Car Washes
Folsom Glenn Car Wash & Auto Lube,,+1-916-983-8977,,,El Dorado Hills,CA,P4 | Class B | website has objective flaws | http://www.folsomcarwash.com/,,Car Washes
CARES Car Wash,,+1-916-516-1797,,,Carmichael,CA,P4 | Class B | website has objective flaws | https://carescarwash.com/,,Car Washes
Waterfly Express Car Wash,,+1-916-249-5255,,,Carmichael,CA,P4 | Class B | website has objective flaws | https://waterflycarwash.com/,,Car Washes
7 Flags Sunrise Express Car Wash,,+1-916-560-1000,,,Citrus Heights,CA,P4 | Class B | website has objective flaws | http://www.7flagscarwash.com/,,Car Washes
Gilly's Car Wash & Dog Wash,,+1-916-970-3053,,,Elk Grove,CA,P4 | Class B | website has objective flaws | http://gillyscarwash.com/,,Car Washes
Magic Car Wash,,+1-916-429-1034,,,Elk Grove,CA,P4 | Class B | website has objective flaws | http://www.magiccarwashanddetail.com/,,Car Washes
Monty's Express Carwash,,+1-916-683-3131,,,Elk Grove,CA,P4 | Class B | website has objective flaws | http://montyscarwash.com/,,Car Washes
Monty’s Express Carwash,,+1-209-474-5822,,,Elk Grove,CA,P4 | Class B | website has objective flaws | http://www.montyscarwash.com/,,Car Washes
Gilly’s Galt Car Wash & Dog Wash,,+1-209-714-2500,,,Galt,CA,P4 | Class B | website has objective flaws | http://www.gillyscarwash.com/,,Car Washes
GEM Express Car Wash,,+1-916-451-6524,,,Sacramento,CA,P4 | Class B | website has objective flaws | http://gemexpresscarwash.com/,,Car Washes
Gem express Carwash,,+1-916-862-0005,,,Sacramento,CA,P4 | Class B | website has objective flaws | https://2.gemexpresscarwash.com/,,Car Washes
Orbit Wash,,+1-916-448-1475,,,Sacramento,CA,P4 | Class B | website has objective flaws | http://www.orbitwash.com/,,Car Washes
