Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Kaady Car Wash,,+1-510-527-5733,,,Berkeley,CA,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Ducky's Car Wash Brentwood,,+1-925-513-4460,,,Antioch,CA,P4 | Class B | website has objective flaws | http://duckysexpress.com/,,Car Washes
Super Clean Xpress Carwash Oakley,,+1-916-659-6457,,,Antioch,CA,P4 | Class B | website has objective flaws | http://www.supercleanmycar.com/,,Car Washes
Autopia Car Wash - Concord,,+1-925-687-1155,,,Concord,CA,P4 | Class B | website has objective flaws | http://www.autopiacarwash.com/,,Car Washes
Autopia Car Wash - PH,,+1-925-849-4434,,,Concord,CA,P4 | Class B | website has objective flaws | http://www.autopiacarwash.com/,,Car Washes
Ducky's Car Wash Concord,,+1-925-798-2520,,,Concord,CA,P4 | Class B | website has objective flaws | https://duckysexpress.com/,,Car Washes
Walnut Creek Car Wash,,+1-925-946-9396,,,Concord,CA,P4 | Class B | website has objective flaws | http://www.walnutcreek-carwash.com/,,Car Washes
Autopia Car Wash - Martinez,,+1-925-228-7145,,,Martinez,CA,P4 | Class B | website has objective flaws | http://www.autopiacarwash.com/,,Car Washes
Bubbles Car Wash Express,,+1-510-234-6112,,,Richmond,CA,P4 | Class B | website has objective flaws | http://www.bubblescarwashexpress.com/,,Car Washes
Grand Prix Express Car Wash,,+1-510-669-0349,,,Richmond,CA,P4 | Class B | website has objective flaws | https://www.grandprixcarwash1.com/,,Car Washes
Lafayette Car Wash And Detail Center,,+1-925-283-1190,,,Walnut Creek,CA,P4 | Class B | website has objective flaws | http://www.lafayettecarwash.com/,,Car Washes
7 Flags Self-Service Car Wash - Martinez,,+1-925-228-4221,,,Benicia,CA,P4 | Class B | website has objective flaws | http://www.7flagscarwash.com/,,Car Washes
