Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Joe's Truck/RV Wash,,+1-408-842-8488,,,Gilroy,CA,P4 | Class B | website has objective flaws | https://www.joestruckwash.com/,,Car Washes
Monterey Vineyard Car wash,,+1-408-779-0191,,,Gilroy,CA,P4 | Class B | website has objective flaws | http://vineyardcarwash.com/,,Car Washes
Lafayette Car Wash,,+1-408-644-2531,,,Milpitas,CA,P4 | Class B | website has objective flaws | http://lafayettecarwash.com/,,Car Washes
Morgan Hill Car Wash & Gift Shop,,+1-408-779-5477,,,Morgan Hill,CA,P4 | Class B | website has objective flaws | http://www.mhcarwash.com/,,Car Washes
Clear Water Car Wash,,+1-650-641-2396,,,Mountain View,CA,P4 | Class B | website has objective flaws | https://clearwatercw.com/,,Car Washes
Kaady Car Washes,,+1-650-668-6844,,,Mountain View,CA,P4 | Class B | website has objective flaws | https://www.kaady.com/,,Car Washes
Sunnyvale Car Spa,,+1-408-736-9562,,,Mountain View,CA,P4 | Class B | website has objective flaws | https://www.carspasunnyvale.com/,,Car Washes
Classic Car Wash,,+1-408-371-2565,,,San Jose,CA,P4 | Class B | website has objective flaws | http://classiccarwash.com/,,Car Washes
Evergreen Express Car Wash,,+1-408-238-2590,,,San Jose,CA,P4 | Class B | website has objective flaws | https://locations.valero.com/en-us/LocationDetails/Index/3303-SAN-FELIPE-RD-SAN-JOSE-CA-95135-2000/0000005675,,Car Washes
Future Wash,,+1-888-399-9274,,,San Jose,CA,P4 | Class B | website has objective flaws | https://www.futurewash.com/,,Car Washes
D&L Auto Detaling inc,,+1-650-670-0549,,,Santa Clara,CA,P4 | Class B | website has objective flaws | https://www.dnlautodetailing.com/,,Car Washes
