Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Kaady Car Washes,,+1-503-624-0598,,,Lake Oswego,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Kaady Car Washes,,+1-503-482-5441,,,Lake Oswego,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Kaady Car Washes,,+1-503-691-2676,,,Lake Oswego,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Cascadia Car Wash,,+1-503-646-0863,,,Beaverton,OR,P4 | Class B | website has objective flaws | http://cascadiacarwash.com/,,Car Washes
Kaady Car Wash,,+1-503-643-2982,,,Beaverton,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Kaady Car Wash,,+1-503-641-8669,,,Beaverton,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Pacos Washer,,+1-971-400-0720,,,Forest Grove,OR,P4 | Class B | website has objective flaws | https://pacoswasher.com/,,Car Washes
US SPLASH,,+1-503-992-8900,,,Forest Grove,OR,P4 | Class B | website has objective flaws | https://www.usmarketstores.com/,,Car Washes
Kaady Car Wash,,+1-503-530-8455,,,Hillsboro,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Kaady Car Washes,,+1-503-648-1717,,,Hillsboro,OR,P4 | Class B | website has objective flaws | http://www.kaady.com/,,Car Washes
Legacy Car Wash,,+1-503-422-6058,,,Tualatin,OR,P4 | Class B | website has objective flaws | http://legacycarwashor.com/,,Car Washes
