niche,class,state,county,batch_file,leads,status,date_loaded,date_called,booked,notes
CAR-WASHES,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-01.csv,97,untouched,,,,
CAR-WASHES,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-02.csv,97,untouched,,,,
CAR-WASHES,CLASS-A,CA,02-ORANGE,orange-ca-class-a-batch-01.csv,78,untouched,,,,
CAR-WASHES,CLASS-A,CA,03-SAN-BERNARDINO,san-bernardino-ca-class-a-batch-01.csv,76,untouched,,,,
CAR-WASHES,CLASS-A,CA,04-RIVERSIDE,riverside-ca-class-a-batch-01.csv,70,untouched,,,,
CAR-WASHES,CLASS-A,CA,05-ALAMEDA,alameda-ca-class-a-batch-01.csv,35,untouched,,,,
CAR-WASHES,CLASS-A,CA,06-CONTRA-COSTA,contra-costa-ca-class-a-batch-01.csv,33,untouched,,,,
CAR-WASHES,CLASS-A,CA,07-SAN-DIEGO,san-diego-ca-class-a-batch-01.csv,33,untouched,,,,
CAR-WASHES,CLASS-A,CA,08-SANTA-CLARA,santa-clara-ca-class-a-batch-01.csv,26,untouched,,,,
CAR-WASHES,CLASS-A,CA,09-KERN,kern-ca-class-a-batch-01.csv,24,untouched,,,,
CAR-WASHES,CLASS-A,CA,10-SACRAMENTO,sacramento-ca-class-a-batch-01.csv,23,untouched,,,,
CAR-WASHES,CLASS-A,CA,11-FRESNO,fresno-ca-class-a-batch-01.csv,22,untouched,,,,
CAR-WASHES,CLASS-A,CA,12-SANTA-BARBARA,santa-barbara-ca-class-a-batch-01.csv,21,untouched,,,,
CAR-WASHES,CLASS-A,CA,13-VENTURA,ventura-ca-class-a-batch-01.csv,19,untouched,,,,
CAR-WASHES,CLASS-A,CA,14-SOLANO,solano-ca-class-a-batch-01.csv,16,untouched,,,,
CAR-WASHES,CLASS-A,CA,15-TULARE,tulare-ca-class-a-batch-01.csv,12,untouched,,,,
CAR-WASHES,CLASS-A,CA,16-MONTEREY,monterey-ca-class-a-batch-01.csv,9,untouched,,,,
CAR-WASHES,CLASS-A,CA,17-SONOMA,sonoma-ca-class-a-batch-01.csv,9,untouched,,,,
CAR-WASHES,CLASS-A,CA,18-STANISLAUS,stanislaus-ca-class-a-batch-01.csv,8,untouched,,,,
CAR-WASHES,CLASS-A,CA,19-SAN-MATEO,san-mateo-ca-class-a-batch-01.csv,7,untouched,,,,
CAR-WASHES,CLASS-A,CA,20-IMPERIAL,imperial-ca-class-a-batch-01.csv,6,untouched,,,,
