Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
G&C Window Tint,,+1-323-313-9162,,,Bellflower,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Town Star Window Tint,,+1-747-528-8681,,,Burbank,CA,engine-v2 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/town_star_tint?igsh=NTc4MTIwNjQ2YQ==,,Window Tint
Prime Tints,,+1-424-376-8214,,,Carson,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
316 Autohaus | Covina,,+1-626-775-5560,,,El Monte,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
LA Tint King,,+1-747-333-9900,,,Glendale,CA,engine-v2 | P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/pages/category/Automotive-Window-Tinting-Service/La-TINT-KING-464483970398980/,,Window Tint
Hollywood Tint - Mobile Tinting,,+1-818-927-5488,,,Inglewood,CA,engine-v2 | P1 | Class A | only a Facebook/booking/directory page | https://hollywoodtintcom.square.site/,,Window Tint
Ar-Tint,,+1-661-463-0555,,,Lancaster,CA,engine-v2 | P3 | Class A | domain parked or for sale | https://ar-tintca.com/,,Window Tint
King Style Window Tinting,,+1-661-582-9179,,,Lancaster,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Mario's Tint,,+1-661-609-9165,,,Lancaster,CA,engine-v2 | P1 | Class A | only a Facebook/booking/directory page | http://www.facebook.com/mariostinting,,Window Tint
Premier window tinting,,+1-661-794-9798,,,Lancaster,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Platinum Motorworks,,+1-562-580-4080,,,Long Beach,CA,engine-v2 | P3 | Class A | website broken or unreachable | http://platinummotorworks.com/,,Window Tint
Rude Boys Motorsports,,+1-213-318-0280,,,Norwalk,CA,engine-v2 | P3 | Class A | website broken or unreachable | http://www.rudeboysmotorsports.com/,,Window Tint
Mafia tints,,+1-661-998-0915,,,Palmdale,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Tuners Garage,,+1-661-886-8048,,,Palmdale,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Blackout Glass Tinting-Automotive,,+1-909-596-5422,,,Pomona,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
VIP WINDOW TINT,,+1-909-282-3634,,,Pomona,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
South Tint & Wrap,,+1-714-829-0682,,,South Gate,CA,engine-v2 | P3 | Class A | website broken or unreachable | https://www.southtw.com/,,Window Tint
"T9 Color Wrapping , Window Tinting",,+1-909-706-0000,,,West Covina,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
TopRatedAutoCare,,+1-626-838-9190,,,West Covina,CA,engine-v2 | P3 | Class A | website broken or unreachable | https://www.topratedautocare.com/,,Window Tint
