Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Modern Auto Styling,,+1-866-357-6148,,,Lincoln,CA,engine-v2 | P3 | Class A | website broken or unreachable | http://modernautostyling.com/,,Window Tint
SMP Tint & Detail,,+1-916-708-0614,,,Carmichael,CA,engine-v2 | P3 | Class A | website broken or unreachable | http://www.smptintdetail.com/,,Window Tint
Sun Stoppers Carmichael,,+1-916-218-0495,,,Carmichael,CA,engine-v2 | P3 | Class A | website broken or unreachable | https://sunstoppers.com/locations/california/carmichael-window-tinting/,,Window Tint
24 Hour Window Tinting,,+1-916-912-5729,,,Elk Grove,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Eddy's Tintz,,+1-916-410-3116,,,Elk Grove,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Lion's Autoshade,,+1-916-999-9916,,,Folsom,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Quality Kustoms,,+1-209-366-9557,,,Folsom,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Sanchez Window Tint,,+1-209-922-7874,,,Galt,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
Alex Window Tinting,,+1-916-584-4210,,,Rancho Cordova,CA,engine-v2 | P2 | Class A | no website found on Google,,Window Tint
NorthSide window Tinting & Car Wraps,,+1-916-307-0695,,,Sacramento,CA,engine-v2 | P1 | Class A | only a Facebook/booking/directory page | http://www.instagram.com/northside_tintandwraps,,Window Tint
