Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Alhambra Mobile Window Tinting,,+1-626-427-8522,,,Alhambra,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.alhambrawindowtinting.com/,,Window Tint
G5 Tint Shop Alhambra,,+1-626-282-0010,,,Alhambra,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.g5tintshop.com/,,Window Tint
BP Stereo and Tint,,+1-323-362-3070,,,Baldwin Park,CA,engine-v2 | P4 | Class B | website has objective flaws | http://www.bpstereo.com/,,Window Tint
BRAVO TINTING,,+1-808-302-7128,,,Carson,CA,engine-v2 | P4 | Class B | website has objective flaws | https://bravotinting.com/,,Window Tint
Pro-tech Car Stereo & Tinting,,+1-909-507-6318,,,Carson,CA,engine-v2 | P4 | Class B | website has objective flaws | https://protechtintingcarson.com/,,Window Tint
Cali Tint Pros,,+1-661-554-0707,,,Lancaster,CA,engine-v2 | P4 | Class B | website has objective flaws | http://calitintpros.net/,,Window Tint
Heinz Custom Tint,,+1-661-433-4435,,,Lancaster,CA,engine-v2 | P4 | Class B | website has objective flaws | http://heinzcustomtint.com/,,Window Tint
Protek Window Tinting,,+1-661-723-1072,,,Lancaster,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.protektinting.com/,,Window Tint
The Tint Vault,,+1-661-941-5492,,,Lancaster,CA,engine-v2 | P4 | Class B | website has objective flaws | http://thetintvault.com/,,Window Tint
BMA TINT SHOP,,+1-562-253-1249,,,Long Beach,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.bmatintshop.com/,,Window Tint
Precision Tint LLC,,+1-562-603-3744,,,Long Beach,CA,engine-v2 | P4 | Class B | website has objective flaws | https://precisiontintllc.com/,,Window Tint
Fresh Off The Lot Mobile Window Tinting,,+1-661-268-9477,,,Palmdale,CA,engine-v2 | P4 | Class B | website has objective flaws | https://app.tintwiz.com/web/cs/8bj5un6j8q94gunsagsddj6uwlyme41p,,Window Tint
Only Tints / Krispy Clean,,+1-661-670-4511,,,Palmdale,CA,engine-v2 | P4 | Class B | website has objective flaws | https://krispycleanexclusive.com/,,Window Tint
sonixcustom,,+1-714-936-5438,,,Pasadena,CA,engine-v2 | P4 | Class B | website has objective flaws | http://sonixcustom.com/,,Window Tint
Autoskinz,,+1-661-347-8468,,,Santa Clarita,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.autoskinz.com/,,Window Tint
Elite Valley Window Tint,,+1-747-268-8566,,,Santa Clarita,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.elitevalleywindowtint.com/,,Window Tint
South Bay Customs & Exotics,,+1-310-997-7291,,,Torrance,CA,engine-v2 | P4 | Class B | website has objective flaws | https://sbcewraps.com/,,Window Tint
America Tint ⭐️⭐️⭐️⭐️⭐️,,+1-626-788-7770,,,West Covina,CA,engine-v2 | P4 | Class B | website has objective flaws | https://www.americatint.com/,,Window Tint
Solax Auto Tint,,+1-562-783-0603,,,Whittier,CA,engine-v2 | P4 | Class B | website has objective flaws | http://solaxtint.com/,,Window Tint
Whittier Tint Shop,,+1-562-908-6808,,,Whittier,CA,engine-v2 | P4 | Class B | website has objective flaws | http://www.whittiertintshop.com/,,Window Tint
