niche,class,state,county,batch_file,leads,status,date_loaded,date_called,booked,notes
WINDOW-TINT,CLASS-A,CA,01-LOS-ANGELES,los-angeles-ca-class-a-batch-01.csv,19,untouched,,,,
WINDOW-TINT,CLASS-A,CA,02-SAN-BERNARDINO,san-bernardino-ca-class-a-batch-01.csv,19,untouched,,,,
WINDOW-TINT,CLASS-A,CA,03-RIVERSIDE,riverside-ca-class-a-batch-01.csv,12,untouched,,,,
WINDOW-TINT,CLASS-A,CA,04-SACRAMENTO,sacramento-ca-class-a-batch-01.csv,10,untouched,,,,
WINDOW-TINT,CLASS-A,CA,05-CONTRA-COSTA,contra-costa-ca-class-a-batch-01.csv,8,untouched,,,,
WINDOW-TINT,CLASS-A,CA,06-SAN-DIEGO,san-diego-ca-class-a-batch-01.csv,7,untouched,,,,
WINDOW-TINT,CLASS-A,CA,07-SANTA-BARBARA,santa-barbara-ca-class-a-batch-01.csv,7,untouched,,,,
WINDOW-TINT,CLASS-A,CA,08-STANISLAUS,stanislaus-ca-class-a-batch-01.csv,7,untouched,,,,
WINDOW-TINT,CLASS-A,CA,09-ALAMEDA,alameda-ca-class-a-batch-01.csv,6,untouched,,,,
WINDOW-TINT,CLASS-A,CA,10-SOLANO,solano-ca-class-a-batch-01.csv,6,untouched,,,,
WINDOW-TINT,CLASS-A,CA,11-TULARE,tulare-ca-class-a-batch-01.csv,6,untouched,,,,
WINDOW-TINT,CLASS-A,CA,12-SANTA-CLARA,santa-clara-ca-class-a-batch-01.csv,5,untouched,,,,
WINDOW-TINT,CLASS-A,CA,13-VENTURA,ventura-ca-class-a-batch-01.csv,5,untouched,,,,
WINDOW-TINT,CLASS-A,CA,14-KERN,kern-ca-class-a-batch-01.csv,4,untouched,,,,
WINDOW-TINT,CLASS-A,CA,15-FRESNO,fresno-ca-class-a-batch-01.csv,3,untouched,,,,
WINDOW-TINT,CLASS-A,CA,16-MERCED,merced-ca-class-a-batch-01.csv,3,untouched,,,,
WINDOW-TINT,CLASS-A,CA,17-ORANGE,orange-ca-class-a-batch-01.csv,3,untouched,,,,
WINDOW-TINT,CLASS-A,CA,18-SAN-MATEO,san-mateo-ca-class-a-batch-01.csv,3,untouched,,,,
WINDOW-TINT,CLASS-A,CA,19-SONOMA,sonoma-ca-class-a-batch-01.csv,3,untouched,,,,
WINDOW-TINT,CLASS-A,CA,20-BUTTE,butte-ca-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,CA,21-EL-DORADO,el-dorado-ca-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,CA,22-HUMBOLDT,humboldt-ca-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,CA,23-MADERA,madera-ca-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,CA,24-MENDOCINO,mendocino-ca-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,CA,25-SAN-LUIS-OBISPO,san-luis-obispo-ca-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,CA,26-COLUSA,colusa-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,27-IMPERIAL,imperial-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,28-KINGS,kings-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,29-MARIN,marin-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,30-MONTEREY,monterey-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,31-NEVADA,nevada-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,32-SANTA-CRUZ,santa-cruz-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,33-SHASTA,shasta-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,CA,34-SUTTER,sutter-ca-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,OR,01-LANE,lane-or-class-a-batch-01.csv,4,untouched,,,,
WINDOW-TINT,CLASS-A,OR,02-CLACKAMAS,clackamas-or-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,OR,03-MARION,marion-or-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,OR,04-MULTNOMAH,multnomah-or-class-a-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-A,OR,05-COOS,coos-or-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,OR,06-DOUGLAS,douglas-or-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,OR,07-KLAMATH,klamath-or-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,OR,08-MALHEUR,malheur-or-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,OR,09-WASHINGTON,washington-or-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-A,OR,10-YAMHILL,yamhill-or-class-a-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-B,CA,01-LOS-ANGELES,los-angeles-ca-class-b-batch-01.csv,20,untouched,,,,
WINDOW-TINT,CLASS-B,CA,02-SAN-BERNARDINO,san-bernardino-ca-class-b-batch-01.csv,9,untouched,,,,
WINDOW-TINT,CLASS-B,CA,03-SACRAMENTO,sacramento-ca-class-b-batch-01.csv,8,untouched,,,,
WINDOW-TINT,CLASS-B,CA,04-SANTA-CLARA,santa-clara-ca-class-b-batch-01.csv,8,untouched,,,,
WINDOW-TINT,CLASS-B,CA,05-ORANGE,orange-ca-class-b-batch-01.csv,7,untouched,,,,
WINDOW-TINT,CLASS-B,CA,06-SAN-DIEGO,san-diego-ca-class-b-batch-01.csv,7,untouched,,,,
WINDOW-TINT,CLASS-B,CA,07-STANISLAUS,stanislaus-ca-class-b-batch-01.csv,7,untouched,,,,
WINDOW-TINT,CLASS-B,CA,08-RIVERSIDE,riverside-ca-class-b-batch-01.csv,6,untouched,,,,
WINDOW-TINT,CLASS-B,CA,09-SONOMA,sonoma-ca-class-b-batch-01.csv,6,untouched,,,,
WINDOW-TINT,CLASS-B,CA,10-TULARE,tulare-ca-class-b-batch-01.csv,5,untouched,,,,
WINDOW-TINT,CLASS-B,CA,11-VENTURA,ventura-ca-class-b-batch-01.csv,5,untouched,,,,
WINDOW-TINT,CLASS-B,CA,12-ALAMEDA,alameda-ca-class-b-batch-01.csv,4,untouched,,,,
WINDOW-TINT,CLASS-B,CA,13-MERCED,merced-ca-class-b-batch-01.csv,4,untouched,,,,
WINDOW-TINT,CLASS-B,CA,14-PLACER,placer-ca-class-b-batch-01.csv,4,untouched,,,,
WINDOW-TINT,CLASS-B,CA,15-SOLANO,solano-ca-class-b-batch-01.csv,4,untouched,,,,
WINDOW-TINT,CLASS-B,CA,16-CONTRA-COSTA,contra-costa-ca-class-b-batch-01.csv,3,untouched,,,,
WINDOW-TINT,CLASS-B,CA,17-BUTTE,butte-ca-class-b-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-B,CA,18-EL-DORADO,el-dorado-ca-class-b-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-B,CA,19-FRESNO,fresno-ca-class-b-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-B,CA,20-KINGS,kings-ca-class-b-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-B,CA,21-NAPA,napa-ca-class-b-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-B,CA,22-YOLO,yolo-ca-class-b-batch-01.csv,2,untouched,,,,
WINDOW-TINT,CLASS-B,CA,23-MADERA,madera-ca-class-b-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-B,CA,24-MARIN,marin-ca-class-b-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-B,CA,25-MONTEREY,monterey-ca-class-b-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-B,CA,26-SAN-BENITO,san-benito-ca-class-b-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-B,CA,27-SAN-MATEO,san-mateo-ca-class-b-batch-01.csv,1,untouched,,,,
WINDOW-TINT,CLASS-B,CA,28-SHASTA,shasta-ca-class-b-batch-01.csv,1,untouched,,,,
