stable_id,niche,business_name,published_business_phone,city,county,state,lead_class,website_state,candidate_website_url,status,first_seen
google_maps:data_id:0x17ed8ce87117fcf:0x88b6f11479abccd,car-detailers,A&B Auto Detailing,+1-510-424-6681,Alameda,Alameda,CA,A,third_party_only,https://www.instagram.com/ab.detailsz?igsh=NTc4MTIwNjQ2YQ==,exported_2026-08-16,2026-08-16
google_maps:data_id:0x808f8769d1ac9a99:0xdd528cb35cb74644,car-detailers,Bay Area Mobile Detail,+1-510-689-6953,Alameda,Alameda,CA,NOT_QUALIFIED,functional_no_supported_deficiency,https://bayareadetailservice.com/,discovered,2026-08-16
google_maps:data_id:0x808f87f773b78b41:0xe05a7b6ae3a1adcb,car-detailers,Bayline mobile car detailing,+1-510-405-6559,Alameda,Alameda,CA,A,no_website_link_listed,,exported_2026-08-16,2026-08-16
google_maps:data_id:0x808f87534b79dc33:0x9b0dcb91d32d5a33,car-detailers,Best Detail Inc.,+1-510-444-6006,Alameda,Alameda,CA,NOT_QUALIFIED,functional_no_supported_deficiency,https://bestdetailinginc.com/,discovered,2026-08-16
google_maps:data_id:0x808f87ac00000001:0x675df3dfd17faf75,car-detailers,California Mobile Detail,+1-510-688-2765,Alameda,Alameda,CA,A,no_website_link_listed,,exported_2026-08-16,2026-08-16
google_maps:data_id:0x839be2d602259ed5:0x55a6dcfd7edd3c75,car-detailers,Car Detailing All Day,+1-510-978-7679,Alameda,Contra Costa,CA,A,broken_or_unreachable,http://cardetailingallday.com/,exported_2026-08-16,2026-08-16
google_maps:data_id:0x808f867527d2b3e7:0x5e3a1c6c93ed57e0,car-detailers,Carter Auto Express Detailing,+1-510-434-4203,Alameda,Alameda,CA,A,broken_or_unreachable,https://carterautoexpress.com/?utm_campaign=gmb,exported_2026-08-16,2026-08-16
google_maps:data_id:0x808f86553fe528e3:0x30eb5f28bcab2946,car-detailers,Charlotte's Web Car Detailing,+1-510-479-1836,Alameda,Alameda,CA,A,no_website_link_listed,,exported_2026-08-16,2026-08-16
google_maps:data_id:0x808f8745636efffb:0xc399b529927f2c99,car-detailers,Clean Green Mobile - Eco-Friendly Car Wash & Mobile Detail Services,+1-510-965-8683,Alameda,Alameda,CA,NOT_QUALIFIED,functional_no_supported_deficiency,https://www.cleangreenmobile.com/,discovered,2026-08-16
google_maps:data_id:0x808f8703c91a3a73:0xa25187dd4b3c79be,car-detailers,Deep Town Detailing,+1-510-394-2303,Alameda,Alameda,CA,A,broken_or_unreachable,https://deeptowndetailing.shop/,exported_2026-08-16,2026-08-16
