origin,niche,stable_id,business_name,published_business_phone,candidate_website_url,lead_class,city,county,state,website_state
engine-v2,car-washes,google_maps:data_id:0x808f85e09e2f3639:0x65df3b1943b47fdd,Car Wash Full Service,+1-415-678-0760,,A,Alameda,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f85f54dcf0579:0x5449989985b74c0,Community Car Wash,+1-510-729-5027,,A,Alameda,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f87305cd296d1:0x1fbd3a91242721f6,KSC Car Wash,+1-510-250-9225,,A,Alameda,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f871176eb44ed:0xa7e582337553b4d2,SHINE & GO CAR WASH,+1-510-424-3808,http://oaklandbestcarwash.com/,B,Alameda,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808f864c0b790a23:0xea5c5531e5c5049b,Solar Car Wash,+1-510-614-6664,http://www.thesolarcarwash.com/,B,Alameda,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808f863f34203705:0x1366377f7af3ea3b,Spraymaster Self Services Car Wash,+1-510-530-2440,,A,Alameda,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80857d18f0f381ab:0xc6fd6076712c82ad,BH Mobile Detail,+1-415-306-1792,,A,Berkeley,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808579248e7caf1d:0x1899ef4499062e28,Kaady Car Wash,+1-510-527-5733,http://www.kaady.com/,B,Berkeley,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0xa09a1fc4609e2cf1:0xa45ed0f844b03568,Nashmi Mobile Auto Detail,+1-510-406-2956,https://nashmidetail.com/,B,Berkeley,El Dorado,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x80857ec0209c3d55:0x17833511562bf7fd,Solar Car Wash,+1-888-614-6664,http://www.thesolarcarwash.com/,B,Berkeley,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x80857df38b7b07c7:0x80d3db3eba23cf43,Suds Machine,+1-510-547-5507,http://www.kenbettscompany.com/,B,Berkeley,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0xac1ec00a295fec83:0x397895cadfcc4329,Turrini Automotive Detailing,+1-925-922-1333,,A,Berkeley,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fec68c0974f89:0x2d12fbe42173aef3,A&A Gas & Food Mart & Car Wash,+1-925-829-7218,,A,Dublin,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fec6cd521aa05:0xdecd3a40b9e6b587,Autopia Car Wash - Dublin,+1-925-803-8700,http://www.autopiacarwash.com/,B,Dublin,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fe7a23400fd8b:0x5daddb4ccbe29a79,Autopia Car Wash - Livermore,+1-925-455-6644,http://autopiacarwash.com/,B,Dublin,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fec6b524cef73:0xd87f0bba25552969,Corwood Car Wash,+1-925-828-5151,,A,Dublin,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fec6b6e159a9b:0x50ba80a28776b110,Dublin Self Service Car Wash,+1-510-888-2024,,A,Dublin,Alameda,CA,no_website_link_listed
