origin,niche,stable_id,business_name,published_business_phone,candidate_website_url,lead_class,city,county,state,website_state
engine-v2,window-tint,google_maps:data_id:0x808fc7b4febbe3e3:0x4af27edf514e30d,QualiTints,+1-650-784-8667,https://qualitints.com/,B,Fremont,Alameda,CA,functional_with_objective_deficiency
engine-v2,window-tint,google_maps:data_id:0x808f954b34dc2089:0x627f20b000f4cec4,ACJ Window Tinting,+1-510-688-4482,https://acjwindowtinting.com/acj-window-tint,B,Hayward,Alameda,CA,functional_with_objective_deficiency
engine-v2,window-tint,google_maps:data_id:0x808f91f45913f7fb:0x84f0b60e46d051c5,Crystal Clear Customs,+1-510-330-1475,https://crystalclearcustom.com/,A,Hayward,Alameda,CA,broken_or_unreachable
engine-v2,window-tint,google_maps:data_id:0x808f936b6ee16ef5:0x7ce85774d798f31c,Immortal Tints,+1-209-666-4012,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x808fe7cc7e3fc8ab:0xab76c652defc8614,Hyper Restyling PPF & TINT,+1-925-505-8991,https://hyperrestyling.com/,A,Livermore,Alameda,CA,broken_or_unreachable
engine-v2,window-tint,google_maps:data_id:0x808fe7a5177fab83:0x23e179a801bae89e,Panther Tint & Glass,+1-925-900-6333,https://panthertints.com/,B,Livermore,Alameda,CA,functional_with_objective_deficiency
engine-v2,window-tint,google_maps:data_id:0x808f80a8298a9787:0x31b7c3f36f6b1c43,Professional Film Installation,+1-510-839-2430,,A,Oakland,Alameda,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x808f870fedb5848d:0x7a5a932abbdb8443,Troy’s window tint,+1-510-566-3853,,A,Oakland,Alameda,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x808f91be656697a1:0x39390ec9c0610fe6,West Coast Tinting,+1-510-314-1600,,A,San Leandro,Alameda,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x808f956afbb336b1:0xf6e9a6717cdc94e0,Crystal Tint & Customs,+1-510-759-3444,http://www.crystaltintcustoms.com/,B,Union City,Alameda,CA,functional_with_objective_deficiency
engine-v2,window-tint,google_maps:data_id:0x8083276733d57a27:0xabe510faa7f22d7,Auto Accents & Window Tinting,+1-530-680-7108,,A,Chico,Butte,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x808328b7193f1075:0xc70eb6c6acb0f6ba,Chico Custom Tint,+1-530-592-6868,http://www.chicocustomtint.com/,A,Chico,Butte,CA,broken_or_unreachable
engine-v2,window-tint,google_maps:data_id:0x8082d99e331406c9:0xefb6166439d519fe,Exclusive Window Tinting,+1-530-650-2402,https://www.chicoexclusivewindowtinting.com/,B,Chico,Butte,CA,functional_with_objective_deficiency
engine-v2,window-tint,google_maps:data_id:0x809cb4368400ecc5:0x6a57db2d4a6c8546,Supertints,+1-530-533-9846,http://www.californiasupertints.com/,B,Oroville,Butte,CA,functional_with_objective_deficiency
engine-v2,window-tint,google_maps:data_id:0x8083676675b3b559:0x65fd2104b040a79f,Elite Window Tinting,+1-530-458-1218,,A,Colusa,Colusa,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x80855799a145825f:0x9733193b3c9d3561,Suntone Auto Glass Tinting,+1-925-754-3509,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x84b0de8438eca417:0x43d996d5f17f132,Z&S Window Tinting,+1-925-350-2672,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,window-tint,google_maps:data_id:0x80856128a6a2786d:0x13ee135b7242ad8f,Discovery Tint,+1-925-256-8468,,A,Concord,Contra Costa,CA,no_website_link_listed
